🦵🏻	cic, cos, cos: ton cnis geal, géag, ton cnis geal
🤶🏻	Bean Uí Claus, Bean Uí Claus: ton cnis geal, bean, hata, hata nollag, nollaig, ton cnis geal
🤶🏼	Bean Uí Claus, Bean Uí Claus: ton cnis meánach-gheal, bean, hata, hata nollag, nollaig, ton cnis meánach-gheal
🤶🏽	Bean Uí Claus, Bean Uí Claus: ton cnis meánach, bean, hata, hata nollag, nollaig, ton cnis meánach
🤶🏾	Bean Uí Claus, Bean Uí Claus: ton cnis meánach-dhorcha, bean, hata, hata nollag, nollaig, ton cnis meánach-dhorcha
🤶🏿	Bean Uí Claus, Bean Uí Claus: ton cnis dorcha, bean, hata, hata nollag, nollaig, ton cnis dorcha
🧙🏻	asarlaí, cailleach, draoi, duine draíochta, duine draíochta: ton cnis geal, ton cnis geal
🧙🏼	asarlaí, cailleach, draoi, duine draíochta, duine draíochta: ton cnis meánach-gheal, ton cnis meánach-gheal
🧙🏽	asarlaí, cailleach, draoi, duine draíochta, duine draíochta: ton cnis meánach, ton cnis meánach
🧙🏾	asarlaí, cailleach, draoi, duine draíochta, duine draíochta: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🧙🏿	asarlaí, cailleach, draoi, duine draíochta, duine draíochta: ton cnis dorcha, ton cnis dorcha
🧙🏻‍♀	bean dhraíochta, bean dhraíochta: ton cnis geal, cailleach, ton cnis geal
🧙🏼‍♀	bean dhraíochta, bean dhraíochta: ton cnis meánach-gheal, cailleach, ton cnis meánach-gheal
🧙🏽‍♀	bean dhraíochta, bean dhraíochta: ton cnis meánach, cailleach, ton cnis meánach
🧙🏾‍♀	bean dhraíochta, bean dhraíochta: ton cnis meánach-dhorcha, cailleach, ton cnis meánach-dhorcha
🧙🏿‍♀	bean dhraíochta, bean dhraíochta: ton cnis dorcha, cailleach, ton cnis dorcha
🧙🏻‍♂	draoi, fear draíochta, fear draíochta: ton cnis geal, ton cnis geal
🧙🏼‍♂	draoi, fear draíochta, fear draíochta: ton cnis meánach-gheal, ton cnis meánach-gheal
🧙🏽‍♂	draoi, fear draíochta, fear draíochta: ton cnis meánach, ton cnis meánach
🧙🏾‍♂	draoi, fear draíochta, fear draíochta: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🧙🏿‍♂	draoi, fear draíochta, fear draíochta: ton cnis dorcha, ton cnis dorcha
🧚🏻	síog, síog: ton cnis geal, ton cnis geal
🧚🏼	síog, síog: ton cnis meánach-gheal, ton cnis meánach-gheal
🧚🏽	síog, síog: ton cnis meánach, ton cnis meánach
🧚🏾	síog, síog: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🧚🏿	síog, síog: ton cnis dorcha, ton cnis dorcha
🧚🏻‍♀	sióg bhaineann, sióg bhaineann: ton cnis geal, sióga baineann, ton cnis geal
🧚🏼‍♀	sióg bhaineann, sióg bhaineann: ton cnis meánach-gheal, sióga baineann, ton cnis meánach-gheal
🧚🏽‍♀	sióg bhaineann, sióg bhaineann: ton cnis meánach, sióga baineann, ton cnis meánach
🧚🏾‍♀	sióg bhaineann, sióg bhaineann: ton cnis meánach-dhorcha, sióga baineann, ton cnis meánach-dhorcha
🧚🏿‍♀	sióg bhaineann, sióg bhaineann: ton cnis dorcha, sióga baineann, ton cnis dorcha
🧚🏻‍♂	sióg fearann, sióg fhireann, sióg fhireann: ton cnis geal, ton cnis geal
🧚🏼‍♂	sióg fearann, sióg fhireann, sióg fhireann: ton cnis meánach-gheal, ton cnis meánach-gheal
🧚🏽‍♂	sióg fearann, sióg fhireann, sióg fhireann: ton cnis meánach, ton cnis meánach
🧚🏾‍♂	sióg fearann, sióg fhireann, sióg fhireann: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🧚🏿‍♂	sióg fearann, sióg fhireann, sióg fhireann: ton cnis dorcha, ton cnis dorcha
🧛🏻	Dracula, neamh-mharbh, ton cnis geal, vaimpír, vaimpír: ton cnis geal
🧛🏼	Dracula, neamh-mharbh, ton cnis meánach-gheal, vaimpír, vaimpír: ton cnis meánach-gheal
🧛🏽	Dracula, neamh-mharbh, ton cnis meánach, vaimpír, vaimpír: ton cnis meánach
🧛🏾	Dracula, neamh-mharbh, ton cnis meánach-dhorcha, vaimpír, vaimpír: ton cnis meánach-dhorcha
🧛🏿	Dracula, neamh-mharbh, ton cnis dorcha, vaimpír, vaimpír: ton cnis dorcha
🧛🏻‍♀	bean, neamh-mharbh, ton cnis geal, vaimpír baineann, vaimpír bhaineann, vaimpír bhaineann: ton cnis geal
🧛🏼‍♀	bean, neamh-mharbh, ton cnis meánach-gheal, vaimpír baineann, vaimpír bhaineann, vaimpír bhaineann: ton cnis meánach-gheal
🧛🏽‍♀	bean, neamh-mharbh, ton cnis meánach, vaimpír baineann, vaimpír bhaineann, vaimpír bhaineann: ton cnis meánach
🧛🏾‍♀	bean, neamh-mharbh, ton cnis meánach-dhorcha, vaimpír baineann, vaimpír bhaineann, vaimpír bhaineann: ton cnis meánach-dhorcha
🧛🏿‍♀	bean, neamh-mharbh, ton cnis dorcha, vaimpír baineann, vaimpír bhaineann, vaimpír bhaineann: ton cnis dorcha
🧛🏻‍♂	Dracula, fear, neamh-mharbh, ton cnis geal, vaimpír, vaimpír fhireann, vaimpír fhireann: ton cnis geal
🧛🏼‍♂	Dracula, fear, neamh-mharbh, ton cnis meánach-gheal, vaimpír, vaimpír fhireann, vaimpír fhireann: ton cnis meánach-gheal
🧛🏽‍♂	Dracula, fear, neamh-mharbh, ton cnis meánach, vaimpír, vaimpír fhireann, vaimpír fhireann: ton cnis meánach
🧛🏾‍♂	Dracula, fear, neamh-mharbh, ton cnis meánach-dhorcha, vaimpír, vaimpír fhireann, vaimpír fhireann: ton cnis meánach-dhorcha
🧛🏿‍♂	Dracula, fear, neamh-mharbh, ton cnis dorcha, vaimpír, vaimpír fhireann, vaimpír fhireann: ton cnis dorcha
🧜🏻	duine murúch, duine murúch: ton cnis geal, ton cnis geal
🧜🏼	duine murúch, duine murúch: ton cnis meánach-gheal, ton cnis meánach-gheal
🧜🏽	duine murúch, duine murúch: ton cnis meánach, ton cnis meánach
🧜🏾	duine murúch, duine murúch: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🧜🏿	duine murúch, duine murúch: ton cnis dorcha, ton cnis dorcha
🧜🏻‍♀	bean, murúch, murúch: ton cnis geal, ton cnis geal
🧜🏼‍♀	bean, murúch, murúch: ton cnis meánach-gheal, ton cnis meánach-gheal
🧜🏽‍♀	bean, murúch, murúch: ton cnis meánach, ton cnis meánach
🧜🏾‍♀	bean, murúch, murúch: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🧜🏿‍♀	bean, murúch, murúch: ton cnis dorcha, ton cnis dorcha
🧜🏻‍♂	murúch fir, murúch fir: ton cnis geal, ton cnis geal, tríotón
🧜🏼‍♂	murúch fir, murúch fir: ton cnis meánach-gheal, ton cnis meánach-gheal, tríotón
🧜🏽‍♂	murúch fir, murúch fir: ton cnis meánach, ton cnis meánach, tríotón
🧜🏾‍♂	murúch fir, murúch fir: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha, tríotón
🧜🏿‍♂	murúch fir, murúch fir: ton cnis dorcha, ton cnis dorcha, tríotón
🧝🏻	draíochtúil, lucharachán, lucharachán: ton cnis geal, síogaí, ton cnis geal
🧝🏼	draíochtúil, lucharachán, lucharachán: ton cnis meánach-gheal, síogaí, ton cnis meánach-gheal
🧝🏽	draíochtúil, lucharachán, lucharachán: ton cnis meánach, síogaí, ton cnis meánach
🧝🏾	draíochtúil, lucharachán, lucharachán: ton cnis meánach-dhorcha, síogaí, ton cnis meánach-dhorcha
🧝🏿	draíochtúil, lucharachán, lucharachán: ton cnis dorcha, síogaí, ton cnis dorcha
🧝🏻‍♀	draíochtúil, síofra baineann, síofra baineann: ton cnis geal, síofróg, ton cnis geal
🧝🏼‍♀	draíochtúil, síofra baineann, síofra baineann: ton cnis meánach-gheal, síofróg, ton cnis meánach-gheal
🧝🏽‍♀	draíochtúil, síofra baineann, síofra baineann: ton cnis meánach, síofróg, ton cnis meánach
🧝🏾‍♀	draíochtúil, síofra baineann, síofra baineann: ton cnis meánach-dhorcha, síofróg, ton cnis meánach-dhorcha
🧝🏿‍♀	draíochtúil, síofra baineann, síofra baineann: ton cnis dorcha, síofróg, ton cnis dorcha
🧝🏻‍♂	draíochtúil, síofra fireann, síofra fireann: ton cnis geal, síogaí, ton cnis geal
🧝🏼‍♂	draíochtúil, síofra fireann, síofra fireann: ton cnis meánach-gheal, síogaí, ton cnis meánach-gheal
🧝🏽‍♂	draíochtúil, síofra fireann, síofra fireann: ton cnis meánach, síogaí, ton cnis meánach
🧝🏾‍♂	draíochtúil, síofra fireann, síofra fireann: ton cnis meánach-dhorcha, síogaí, ton cnis meánach-dhorcha
🧝🏿‍♂	draíochtúil, síofra fireann, síofra fireann: ton cnis dorcha, síogaí, ton cnis dorcha
🙍🏻	duine, duine le púic air, duine le púic air: ton cnis geal, gotha, gruama, ton cnis geal
🙍🏼	duine, duine le púic air, duine le púic air: ton cnis meánach-gheal, gotha, gruama, ton cnis meánach-gheal
🙍🏽	duine, duine le púic air, duine le púic air: ton cnis meánach, gotha, gruama, ton cnis meánach
🙍🏾	duine, duine le púic air, duine le púic air: ton cnis meánach-dhorcha, gotha, gruama, ton cnis meánach-dhorcha
🙍🏿	duine, duine le púic air, duine le púic air: ton cnis dorcha, gotha, gruama, ton cnis dorcha
🙍🏻‍♂	ag cur grainc, cor, fear, fear ag cur grainc, fear le púic air, fear le púic air: ton cnis geal, fearann, ton cnis geal
🙍🏼‍♂	ag cur grainc, cor, fear, fear ag cur grainc, fear le púic air, fear le púic air: ton cnis meánach-gheal, fearann, ton cnis meánach-gheal
🙍🏽‍♂	ag cur grainc, cor, fear, fear ag cur grainc, fear le púic air, fear le púic air: ton cnis meánach, fearann, ton cnis meánach
🙍🏾‍♂	ag cur grainc, cor, fear, fear ag cur grainc, fear le púic air, fear le púic air: ton cnis meánach-dhorcha, fearann, ton cnis meánach-dhorcha
🙍🏿‍♂	ag cur grainc, cor, fear, fear ag cur grainc, fear le púic air, fear le púic air: ton cnis dorcha, fearann, ton cnis dorcha
🙍🏻‍♀	ag cur grainc, baineann, bean, bean ag cur grainc, bean le púic uirthi, bean le púic uirthi: ton cnis geal, cor, ton cnis geal
🙍🏼‍♀	ag cur grainc, baineann, bean, bean ag cur grainc, bean le púic uirthi, bean le púic uirthi: ton cnis meánach-gheal, cor, ton cnis meánach-gheal
🙍🏽‍♀	ag cur grainc, baineann, bean, bean ag cur grainc, bean le púic uirthi, bean le púic uirthi: ton cnis meánach, cor, ton cnis meánach
🙍🏾‍♀	ag cur grainc, baineann, bean, bean ag cur grainc, bean le púic uirthi, bean le púic uirthi: ton cnis meánach-dhorcha, cor, ton cnis meánach-dhorcha
🙍🏿‍♀	ag cur grainc, baineann, bean, bean ag cur grainc, bean le púic uirthi, bean le púic uirthi: ton cnis dorcha, cor, ton cnis dorcha
🙎🏻	duine, duine le phus orthu, duine le puisín air, duine le puisín air: ton cnis geal, duine pusach, gotha, pus, smut, ton cnis geal
🙎🏼	duine, duine le phus orthu, duine le puisín air, duine le puisín air: ton cnis meánach-gheal, duine pusach, gotha, pus, smut, ton cnis meánach-gheal
🙎🏽	duine, duine le phus orthu, duine le puisín air, duine le puisín air: ton cnis meánach, duine pusach, gotha, pus, smut, ton cnis meánach
🙎🏾	duine, duine le phus orthu, duine le puisín air, duine le puisín air: ton cnis meánach-dhorcha, duine pusach, gotha, pus, smut, ton cnis meánach-dhorcha
🙎🏿	duine, duine le phus orthu, duine le puisín air, duine le puisín air: ton cnis dorcha, duine pusach, gotha, pus, smut, ton cnis dorcha
🙎🏻‍♂	cor, fear, fear le puisín air, fear le puisín air: ton cnis geal, fear le pus, fearann, pus, ton cnis geal
🙎🏼‍♂	cor, fear, fear le puisín air, fear le puisín air: ton cnis meánach-gheal, fear le pus, fearann, pus, ton cnis meánach-gheal
🙎🏽‍♂	cor, fear, fear le puisín air, fear le puisín air: ton cnis meánach, fear le pus, fearann, pus, ton cnis meánach
🙎🏾‍♂	cor, fear, fear le puisín air, fear le puisín air: ton cnis meánach-dhorcha, fear le pus, fearann, pus, ton cnis meánach-dhorcha
🙎🏿‍♂	cor, fear, fear le puisín air, fear le puisín air: ton cnis dorcha, fear le pus, fearann, pus, ton cnis dorcha
🙎🏻‍♀	baineann, bean, bean le puisín uirthi, bean le puisín uirthi: ton cnis geal, bean le pus, cor, pus, ton cnis geal
🙎🏼‍♀	baineann, bean, bean le puisín uirthi, bean le puisín uirthi: ton cnis meánach-gheal, bean le pus, cor, pus, ton cnis meánach-gheal
🙎🏽‍♀	baineann, bean, bean le puisín uirthi, bean le puisín uirthi: ton cnis meánach, bean le pus, cor, pus, ton cnis meánach
🙎🏾‍♀	baineann, bean, bean le puisín uirthi, bean le puisín uirthi: ton cnis meánach-dhorcha, bean le pus, cor, pus, ton cnis meánach-dhorcha
🙎🏿‍♀	baineann, bean, bean le puisín uirthi, bean le puisín uirthi: ton cnis dorcha, bean le pus, cor, pus, ton cnis dorcha
🙅🏻	bac, cosc, duine ag comharthú NÍL, duine ag comharthú NÍL: ton cnis geal, níl cead, ton cnis geal
🙅🏼	bac, cosc, duine ag comharthú NÍL, duine ag comharthú NÍL: ton cnis meánach-gheal, níl cead, ton cnis meánach-gheal
🙅🏽	bac, cosc, duine ag comharthú NÍL, duine ag comharthú NÍL: ton cnis meánach, níl cead, ton cnis meánach
🙅🏾	bac, cosc, duine ag comharthú NÍL, duine ag comharthú NÍL: ton cnis meánach-dhorcha, níl cead, ton cnis meánach-dhorcha
🙅🏿	bac, cosc, duine ag comharthú NÍL, duine ag comharthú NÍL: ton cnis dorcha, níl cead, ton cnis dorcha
🙅🏻‍♂	coiscthe, comhartha, cosc, fear, fear ag comharthú NÍL, fear ag comharthú NÍL: ton cnis geal, fear ag rá níl, lámh, ton cnis geal
🙅🏼‍♂	coiscthe, comhartha, cosc, fear, fear ag comharthú NÍL, fear ag comharthú NÍL: ton cnis meánach-gheal, fear ag rá níl, lámh, ton cnis meánach-gheal
🙅🏽‍♂	coiscthe, comhartha, cosc, fear, fear ag comharthú NÍL, fear ag comharthú NÍL: ton cnis meánach, fear ag rá níl, lámh, ton cnis meánach
🙅🏾‍♂	coiscthe, comhartha, cosc, fear, fear ag comharthú NÍL, fear ag comharthú NÍL: ton cnis meánach-dhorcha, fear ag rá níl, lámh, ton cnis meánach-dhorcha
🙅🏿‍♂	coiscthe, comhartha, cosc, fear, fear ag comharthú NÍL, fear ag comharthú NÍL: ton cnis dorcha, fear ag rá níl, lámh, ton cnis dorcha
🙅🏻‍♀	bean, bean ag comharthú NÍL, bean ag comharthú NÍL: ton cnis geal, bean ag rá níl, coiscthe, comhartha, cosc, lámh, ton cnis geal
🙅🏼‍♀	bean, bean ag comharthú NÍL, bean ag comharthú NÍL: ton cnis meánach-gheal, bean ag rá níl, coiscthe, comhartha, cosc, lámh, ton cnis meánach-gheal
🙅🏽‍♀	bean, bean ag comharthú NÍL, bean ag comharthú NÍL: ton cnis meánach, bean ag rá níl, coiscthe, comhartha, cosc, lámh, ton cnis meánach
🙅🏾‍♀	bean, bean ag comharthú NÍL, bean ag comharthú NÍL: ton cnis meánach-dhorcha, bean ag rá níl, coiscthe, comhartha, cosc, lámh, ton cnis meánach-dhorcha
🙅🏿‍♀	bean, bean ag comharthú NÍL, bean ag comharthú NÍL: ton cnis dorcha, bean ag rá níl, coiscthe, comhartha, cosc, lámh, ton cnis dorcha
🙆🏻	OK, ceart go leor, duine ag comharthú OK, duine ag comharthú OK: ton cnis geal, duine à dhéanamh OK, gach rud i gceart, ton cnis geal
🙆🏼	OK, ceart go leor, duine ag comharthú OK, duine ag comharthú OK: ton cnis meánach-gheal, duine à dhéanamh OK, gach rud i gceart, ton cnis meánach-gheal
🙆🏽	OK, ceart go leor, duine ag comharthú OK, duine ag comharthú OK: ton cnis meánach, duine à dhéanamh OK, gach rud i gceart, ton cnis meánach
🙆🏾	OK, ceart go leor, duine ag comharthú OK, duine ag comharthú OK: ton cnis meánach-dhorcha, duine à dhéanamh OK, gach rud i gceart, ton cnis meánach-dhorcha
🙆🏿	OK, ceart go leor, duine ag comharthú OK, duine ag comharthú OK: ton cnis dorcha, duine à dhéanamh OK, gach rud i gceart, ton cnis dorcha
🙆🏻‍♂	ceart go leor, cor, fear, fear a aontaíonn, fear ag comharthú OK, fear ag comharthú OK: ton cnis geal, fearann, lámh, ton cnis geal
🙆🏼‍♂	ceart go leor, cor, fear, fear a aontaíonn, fear ag comharthú OK, fear ag comharthú OK: ton cnis meánach-gheal, fearann, lámh, ton cnis meánach-gheal
🙆🏽‍♂	ceart go leor, cor, fear, fear a aontaíonn, fear ag comharthú OK, fear ag comharthú OK: ton cnis meánach, fearann, lámh, ton cnis meánach
🙆🏾‍♂	ceart go leor, cor, fear, fear a aontaíonn, fear ag comharthú OK, fear ag comharthú OK: ton cnis meánach-dhorcha, fearann, lámh, ton cnis meánach-dhorcha
🙆🏿‍♂	ceart go leor, cor, fear, fear a aontaíonn, fear ag comharthú OK, fear ag comharthú OK: ton cnis dorcha, fearann, lámh, ton cnis dorcha
🙆🏻‍♀	baineann, bean, bean a aontaíonn, bean ag comharthú OK, bean ag comharthú OK: ton cnis geal, ceart go leor, cor, lámh, ton cnis geal
🙆🏼‍♀	baineann, bean, bean a aontaíonn, bean ag comharthú OK, bean ag comharthú OK: ton cnis meánach-gheal, ceart go leor, cor, lámh, ton cnis meánach-gheal
🙆🏽‍♀	baineann, bean, bean a aontaíonn, bean ag comharthú OK, bean ag comharthú OK: ton cnis meánach, ceart go leor, cor, lámh, ton cnis meánach
🙆🏾‍♀	baineann, bean, bean a aontaíonn, bean ag comharthú OK, bean ag comharthú OK: ton cnis meánach-dhorcha, ceart go leor, cor, lámh, ton cnis meánach-dhorcha
🙆🏿‍♀	baineann, bean, bean a aontaíonn, bean ag comharthú OK, bean ag comharthú OK: ton cnis dorcha, ceart go leor, cor, lámh, ton cnis dorcha
💁🏻	deasc faisnéise, duine lena lámh amach, duine lena lámh amach: ton cnis geal, faisnéis, ton cnis geal
💁🏼	deasc faisnéise, duine lena lámh amach, duine lena lámh amach: ton cnis meánach-gheal, faisnéis, ton cnis meánach-gheal
💁🏽	deasc faisnéise, duine lena lámh amach, duine lena lámh amach: ton cnis meánach, faisnéis, ton cnis meánach
💁🏾	deasc faisnéise, duine lena lámh amach, duine lena lámh amach: ton cnis meánach-dhorcha, faisnéis, ton cnis meánach-dhorcha
💁🏿	deasc faisnéise, duine lena lámh amach, duine lena lámh amach: ton cnis dorcha, faisnéis, ton cnis dorcha
💁🏻‍♂	fear, fear le lámh amach, fear lena lámh amach, fear lena lámh amach: ton cnis geal, fearann, lámh amach, sotalach, ton cnis geal
💁🏼‍♂	fear, fear le lámh amach, fear lena lámh amach, fear lena lámh amach: ton cnis meánach-gheal, fearann, lámh amach, sotalach, ton cnis meánach-gheal
💁🏽‍♂	fear, fear le lámh amach, fear lena lámh amach, fear lena lámh amach: ton cnis meánach, fearann, lámh amach, sotalach, ton cnis meánach
💁🏾‍♂	fear, fear le lámh amach, fear lena lámh amach, fear lena lámh amach: ton cnis meánach-dhorcha, fearann, lámh amach, sotalach, ton cnis meánach-dhorcha
💁🏿‍♂	fear, fear le lámh amach, fear lena lámh amach, fear lena lámh amach: ton cnis dorcha, fearann, lámh amach, sotalach, ton cnis dorcha
💁🏻‍♀	baineann, bean, bean le lámh amach, bean lena lámh amach, bean lena lámh amach: ton cnis geal, lámh amach, sotalach, ton cnis geal
💁🏼‍♀	baineann, bean, bean le lámh amach, bean lena lámh amach, bean lena lámh amach: ton cnis meánach-gheal, lámh amach, sotalach, ton cnis meánach-gheal
💁🏽‍♀	baineann, bean, bean le lámh amach, bean lena lámh amach, bean lena lámh amach: ton cnis meánach, lámh amach, sotalach, ton cnis meánach
💁🏾‍♀	baineann, bean, bean le lámh amach, bean lena lámh amach, bean lena lámh amach: ton cnis meánach-dhorcha, lámh amach, sotalach, ton cnis meánach-dhorcha
💁🏿‍♀	baineann, bean, bean le lámh amach, bean lena lámh amach, bean lena lámh amach: ton cnis dorcha, lámh amach, sotalach, ton cnis dorcha
🙋🏻	duine, duine ag ardú láimhe, duine lena lámh suas, duine lena lámh suas: ton cnis geal, gotha, lámh á hardú, sona, ton cnis geal
🙋🏼	duine, duine ag ardú láimhe, duine lena lámh suas, duine lena lámh suas: ton cnis meánach-gheal, gotha, lámh á hardú, sona, ton cnis meánach-gheal
🙋🏽	duine, duine ag ardú láimhe, duine lena lámh suas, duine lena lámh suas: ton cnis meánach, gotha, lámh á hardú, sona, ton cnis meánach
🙋🏾	duine, duine ag ardú láimhe, duine lena lámh suas, duine lena lámh suas: ton cnis meánach-dhorcha, gotha, lámh á hardú, sona, ton cnis meánach-dhorcha
🙋🏿	duine, duine ag ardú láimhe, duine lena lámh suas, duine lena lámh suas: ton cnis dorcha, gotha, lámh á hardú, sona, ton cnis dorcha
🙋🏻‍♂	cor, fear, fear le lámha suas, fear lena lámh suas, fear lena lámh suas: ton cnis geal, fearann, lámha suas, ton cnis geal
🙋🏼‍♂	cor, fear, fear le lámha suas, fear lena lámh suas, fear lena lámh suas: ton cnis meánach-gheal, fearann, lámha suas, ton cnis meánach-gheal
🙋🏽‍♂	cor, fear, fear le lámha suas, fear lena lámh suas, fear lena lámh suas: ton cnis meánach, fearann, lámha suas, ton cnis meánach
🙋🏾‍♂	cor, fear, fear le lámha suas, fear lena lámh suas, fear lena lámh suas: ton cnis meánach-dhorcha, fearann, lámha suas, ton cnis meánach-dhorcha
🙋🏿‍♂	cor, fear, fear le lámha suas, fear lena lámh suas, fear lena lámh suas: ton cnis dorcha, fearann, lámha suas, ton cnis dorcha
🙋🏻‍♀	baineann, bean, bean le lámha suas, bean lena lámh suas, bean lena lámh suas: ton cnis geal, cor, lámha suas, ton cnis geal
🙋🏼‍♀	baineann, bean, bean le lámha suas, bean lena lámh suas, bean lena lámh suas: ton cnis meánach-gheal, cor, lámha suas, ton cnis meánach-gheal
🙋🏽‍♀	baineann, bean, bean le lámha suas, bean lena lámh suas, bean lena lámh suas: ton cnis meánach, cor, lámha suas, ton cnis meánach
🙋🏾‍♀	baineann, bean, bean le lámha suas, bean lena lámh suas, bean lena lámh suas: ton cnis meánach-dhorcha, cor, lámha suas, ton cnis meánach-dhorcha
🙋🏿‍♀	baineann, bean, bean le lámha suas, bean lena lámh suas, bean lena lámh suas: ton cnis dorcha, cor, lámha suas, ton cnis dorcha
🙇🏻	aiféala, brón, duine ag umhlú, duine ag umhlú: ton cnis geal, gabh mo leithscéal, ton cnis geal, tá brón orm
🙇🏼	aiféala, brón, duine ag umhlú, duine ag umhlú: ton cnis meánach-gheal, gabh mo leithscéal, ton cnis meánach-gheal, tá brón orm
🙇🏽	aiféala, brón, duine ag umhlú, duine ag umhlú: ton cnis meánach, gabh mo leithscéal, ton cnis meánach, tá brón orm
🙇🏾	aiféala, brón, duine ag umhlú, duine ag umhlú: ton cnis meánach-dhorcha, gabh mo leithscéal, ton cnis meánach-dhorcha, tá brón orm
🙇🏿	aiféala, brón, duine ag umhlú, duine ag umhlú: ton cnis dorcha, gabh mo leithscéal, ton cnis dorcha, tá brón orm
🙇🏻‍♂	fear, fear ag umhlú, fear ag umhlú: ton cnis geal, gar, leithscéal, ton cnis geal, tá brón air, umhlaigh
🙇🏼‍♂	fear, fear ag umhlú, fear ag umhlú: ton cnis meánach-gheal, gar, leithscéal, ton cnis meánach-gheal, tá brón air, umhlaigh
🙇🏽‍♂	fear, fear ag umhlú, fear ag umhlú: ton cnis meánach, gar, leithscéal, ton cnis meánach, tá brón air, umhlaigh
🙇🏾‍♂	fear, fear ag umhlú, fear ag umhlú: ton cnis meánach-dhorcha, gar, leithscéal, ton cnis meánach-dhorcha, tá brón air, umhlaigh
🙇🏿‍♂	fear, fear ag umhlú, fear ag umhlú: ton cnis dorcha, gar, leithscéal, ton cnis dorcha, tá brón air, umhlaigh
🙇🏻‍♀	bean, bean ag umhlú, bean ag umhlú: ton cnis geal, comhartha, leithscéal, ton cnis geal, tá brón uirthi, umhlaigh
🙇🏼‍♀	bean, bean ag umhlú, bean ag umhlú: ton cnis meánach-gheal, comhartha, leithscéal, ton cnis meánach-gheal, tá brón uirthi, umhlaigh
🙇🏽‍♀	bean, bean ag umhlú, bean ag umhlú: ton cnis meánach, comhartha, leithscéal, ton cnis meánach, tá brón uirthi, umhlaigh
🙇🏾‍♀	bean, bean ag umhlú, bean ag umhlú: ton cnis meánach-dhorcha, comhartha, leithscéal, ton cnis meánach-dhorcha, tá brón uirthi, umhlaigh
🙇🏿‍♀	bean, bean ag umhlú, bean ag umhlú: ton cnis dorcha, comhartha, leithscéal, ton cnis dorcha, tá brón uirthi, umhlaigh
🤦🏻	aghaidh, ar mire, bos, ciaptha, duine lena aghaidh ina bhos, duine lena aghaidh ina bhos: ton cnis geal, lámh, ní chreidim, ton cnis geal
🤦🏼	aghaidh, ar mire, bos, ciaptha, duine lena aghaidh ina bhos, duine lena aghaidh ina bhos: ton cnis meánach-gheal, lámh, ní chreidim, ton cnis meánach-gheal
🤦🏽	aghaidh, ar mire, bos, ciaptha, duine lena aghaidh ina bhos, duine lena aghaidh ina bhos: ton cnis meánach, lámh, ní chreidim, ton cnis meánach
🤦🏾	aghaidh, ar mire, bos, ciaptha, duine lena aghaidh ina bhos, duine lena aghaidh ina bhos: ton cnis meánach-dhorcha, lámh, ní chreidim, ton cnis meánach-dhorcha
🤦🏿	aghaidh, ar mire, bos, ciaptha, duine lena aghaidh ina bhos, duine lena aghaidh ina bhos: ton cnis dorcha, lámh, ní chreidim, ton cnis dorcha
🤦🏻‍♂	aghaidh i mbos, díchreideamh, fear, fear lena aghaidh i mbos, fear lena aghaidh ina bhos, fear lena aghaidh ina bhos: ton cnis geal, fearann, mearú, ton cnis geal
🤦🏼‍♂	aghaidh i mbos, díchreideamh, fear, fear lena aghaidh i mbos, fear lena aghaidh ina bhos, fear lena aghaidh ina bhos: ton cnis meánach-gheal, fearann, mearú, ton cnis meánach-gheal
🤦🏽‍♂	aghaidh i mbos, díchreideamh, fear, fear lena aghaidh i mbos, fear lena aghaidh ina bhos, fear lena aghaidh ina bhos: ton cnis meánach, fearann, mearú, ton cnis meánach
🤦🏾‍♂	aghaidh i mbos, díchreideamh, fear, fear lena aghaidh i mbos, fear lena aghaidh ina bhos, fear lena aghaidh ina bhos: ton cnis meánach-dhorcha, fearann, mearú, ton cnis meánach-dhorcha
🤦🏿‍♂	aghaidh i mbos, díchreideamh, fear, fear lena aghaidh i mbos, fear lena aghaidh ina bhos, fear lena aghaidh ina bhos: ton cnis dorcha, fearann, mearú, ton cnis dorcha
🤦🏻‍♀	aghaidh i mbos, baineann, bean, bean lena haghaidh i mbos, bean lena haghaidh ina bos, bean lena haghaidh ina bos: ton cnis geal, díchreideamh, mearú, ton cnis geal
🤦🏼‍♀	aghaidh i mbos, baineann, bean, bean lena haghaidh i mbos, bean lena haghaidh ina bos, bean lena haghaidh ina bos: ton cnis meánach-gheal, díchreideamh, mearú, ton cnis meánach-gheal
🤦🏽‍♀	aghaidh i mbos, baineann, bean, bean lena haghaidh i mbos, bean lena haghaidh ina bos, bean lena haghaidh ina bos: ton cnis meánach, díchreideamh, mearú, ton cnis meánach
🤦🏾‍♀	aghaidh i mbos, baineann, bean, bean lena haghaidh i mbos, bean lena haghaidh ina bos, bean lena haghaidh ina bos: ton cnis meánach-dhorcha, díchreideamh, mearú, ton cnis meánach-dhorcha
