🦵🏻	karnacja jasna, kopniak, kończyna, noga, noga: karnacja jasna
🤾🏼	gra, karnacja średnio jasna, osoba grająca w piłkę ręczną, osoba grająca w piłkę ręczną: karnacja średnio jasna, piłka, sport
🤾🏽	gra, karnacja średnia, osoba grająca w piłkę ręczną, osoba grająca w piłkę ręczną: karnacja średnia, piłka, sport
🤾🏾	gra, karnacja średnio ciemna, osoba grająca w piłkę ręczną, osoba grająca w piłkę ręczną: karnacja średnio ciemna, piłka, sport
🤾🏿	gra, karnacja ciemna, osoba grająca w piłkę ręczną, osoba grająca w piłkę ręczną: karnacja ciemna, piłka, sport
🤾🏻‍♂	karnacja jasna, mężczyzna, mężczyzna grający w piłkę ręczną, mężczyzna grający w piłkę ręczną: karnacja jasna, piłka ręczna, sport
🤾🏼‍♂	karnacja średnio jasna, mężczyzna, mężczyzna grający w piłkę ręczną, mężczyzna grający w piłkę ręczną: karnacja średnio jasna, piłka ręczna, sport
🤾🏽‍♂	karnacja średnia, mężczyzna, mężczyzna grający w piłkę ręczną, mężczyzna grający w piłkę ręczną: karnacja średnia, piłka ręczna, sport
🤾🏾‍♂	karnacja średnio ciemna, mężczyzna, mężczyzna grający w piłkę ręczną, mężczyzna grający w piłkę ręczną: karnacja średnio ciemna, piłka ręczna, sport
🤾🏿‍♂	karnacja ciemna, mężczyzna, mężczyzna grający w piłkę ręczną, mężczyzna grający w piłkę ręczną: karnacja ciemna, piłka ręczna, sport
🤾🏻‍♀	karnacja jasna, kobieta, kobieta grająca w piłkę ręczną, kobieta grająca w piłkę ręczną: karnacja jasna, piłka ręczna, sport
🤾🏼‍♀	karnacja średnio jasna, kobieta, kobieta grająca w piłkę ręczną, kobieta grająca w piłkę ręczną: karnacja średnio jasna, piłka ręczna, sport
🤾🏽‍♀	karnacja średnia, kobieta, kobieta grająca w piłkę ręczną, kobieta grająca w piłkę ręczną: karnacja średnia, piłka ręczna, sport
🤾🏾‍♀	karnacja średnio ciemna, kobieta, kobieta grająca w piłkę ręczną, kobieta grająca w piłkę ręczną: karnacja średnio ciemna, piłka ręczna, sport
🤾🏿‍♀	karnacja ciemna, kobieta, kobieta grająca w piłkę ręczną, kobieta grająca w piłkę ręczną: karnacja ciemna, piłka ręczna, sport
🤹🏻	cyrk, karnacja jasna, spryt, żonglerka, żonglerz, żonglująca osoba, żonglująca osoba: karnacja jasna
🤹🏼	cyrk, karnacja średnio jasna, spryt, żonglerka, żonglerz, żonglująca osoba, żonglująca osoba: karnacja średnio jasna
🤹🏽	cyrk, karnacja średnia, spryt, żonglerka, żonglerz, żonglująca osoba, żonglująca osoba: karnacja średnia
🤹🏾	cyrk, karnacja średnio ciemna, spryt, żonglerka, żonglerz, żonglująca osoba, żonglująca osoba: karnacja średnio ciemna
🤹🏿	cyrk, karnacja ciemna, spryt, żonglerka, żonglerz, żonglująca osoba, żonglująca osoba: karnacja ciemna
🤹🏻‍♂	karnacja jasna, mężczyzna, żonglerka, żonglowanie, żonglujący mężczyzna, żonglujący mężczyzna: karnacja jasna
🤹🏼‍♂	karnacja średnio jasna, mężczyzna, żonglerka, żonglowanie, żonglujący mężczyzna, żonglujący mężczyzna: karnacja średnio jasna
🤹🏽‍♂	karnacja średnia, mężczyzna, żonglerka, żonglowanie, żonglujący mężczyzna, żonglujący mężczyzna: karnacja średnia
🤹🏾‍♂	karnacja średnio ciemna, mężczyzna, żonglerka, żonglowanie, żonglujący mężczyzna, żonglujący mężczyzna: karnacja średnio ciemna
🤹🏿‍♂	karnacja ciemna, mężczyzna, żonglerka, żonglowanie, żonglujący mężczyzna, żonglujący mężczyzna: karnacja ciemna
🤹🏻‍♀	karnacja jasna, kobieta, żonglerka, żonglowanie, żonglująca kobieta, żonglująca kobieta: karnacja jasna
🤹🏼‍♀	karnacja średnio jasna, kobieta, żonglerka, żonglowanie, żonglująca kobieta, żonglująca kobieta: karnacja średnio jasna
🤹🏽‍♀	karnacja średnia, kobieta, żonglerka, żonglowanie, żonglująca kobieta, żonglująca kobieta: karnacja średnia
🤹🏾‍♀	karnacja średnio ciemna, kobieta, żonglerka, żonglowanie, żonglująca kobieta, żonglująca kobieta: karnacja średnio ciemna
🤹🏿‍♀	karnacja ciemna, kobieta, żonglerka, żonglowanie, żonglująca kobieta, żonglująca kobieta: karnacja ciemna
👩‍❤‍💋‍👨	kobieta, miłość, mężczyzna, para, pocałunek, pocałunek: kobieta i mężczyzna, zakochani
👨‍❤‍💋‍👨	miłość, mężczyzna, para, pocałunek, pocałunek: mężczyzna i mężczyzna, zakochani
👩‍❤‍💋‍👩	kobieta, miłość, para, pocałunek, pocałunek: kobieta i kobieta, zakochani
👩‍❤‍👨	kobieta, miłość, mężczyzna, para, para z sercem, para z sercem: kobieta i mężczyzna, pocałunek, zakochani
👨‍❤‍👨	miłość, mężczyzna, para, para z sercem, para z sercem: mężczyzna i mężczyzna, pocałunek, zakochani
👩‍❤‍👩	kobieta, miłość, para, para z sercem, para z sercem: kobieta i kobieta, pocałunek, zakochani
👨‍👩‍👦	chłopiec, dziecko, kobieta, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna, kobieta i chłopiec, tata
👨‍👩‍👧	dziecko, dziewczynka, kobieta, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna, kobieta i dziewczynka, tata
👨‍👩‍👧‍👦	chłopiec, dziecko, dziewczynka, kobieta, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna, kobieta, dziewczynka i chłopiec, tata
👨‍👩‍👦‍👦	chłopiec, dziecko, kobieta, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna, kobieta, chłopiec i chłopiec, tata
👨‍👩‍👧‍👧	dziecko, dziewczynka, kobieta, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna, kobieta, dziewczynka i dziewczynka, tata
👨‍👨‍👦	chłopiec, dziecko, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna, mężczyzna i chłopiec, tata
👨‍👨‍👧	dziecko, dziewczynka, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna, mężczyzna i dziewczynka, tata
👨‍👨‍👧‍👦	chłopiec, dziecko, dziewczynka, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna, mężczyzna, dziewczynka i chłopiec, tata
👨‍👨‍👦‍👦	chłopiec, dziecko, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna, mężczyzna, chłopiec i chłopiec, tata
👨‍👨‍👧‍👧	dziecko, dziewczynka, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna, mężczyzna, dziewczynka i dziewczynka, tata
👩‍👩‍👦	chłopiec, dziecko, kobieta, mama, matka, ojciec, rodzice, rodzina, rodzina: kobieta, kobieta i chłopiec, tata
👩‍👩‍👧	dziecko, dziewczynka, kobieta, mama, matka, ojciec, rodzice, rodzina, rodzina: kobieta, kobieta i dziewczynka, tata
👩‍👩‍👧‍👦	chłopiec, dziecko, dziewczynka, kobieta, mama, matka, ojciec, rodzice, rodzina, rodzina: kobieta, kobieta, dziewczynka i chłopiec, tata
👩‍👩‍👦‍👦	chłopiec, dziecko, kobieta, mama, matka, ojciec, rodzice, rodzina, rodzina: kobieta, kobieta, chłopiec i chłopiec, tata
👩‍👩‍👧‍👧	dziecko, dziewczynka, kobieta, mama, matka, ojciec, rodzice, rodzina, rodzina: kobieta, kobieta, dziewczynka i dziewczynka, tata
👨‍👦	chłopiec, dziecko, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna i chłopiec, tata
👨‍👦‍👦	chłopiec, dziecko, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna, chłopiec i chłopiec, tata
👨‍👧	dziecko, dziewczynka, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna i dziewczynka, tata
👨‍👧‍👦	chłopiec, dziecko, dziewczynka, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna, dziewczynka i chłopiec, tata
👨‍👧‍👧	dziecko, dziewczynka, mama, matka, mężczyzna, ojciec, rodzice, rodzina, rodzina: mężczyzna, dziewczynka i dziewczynka, tata
👩‍👦	chłopiec, dziecko, kobieta, mama, matka, ojciec, rodzice, rodzina, rodzina: kobieta i chłopiec, tata
👩‍👦‍👦	chłopiec, dziecko, kobieta, mama, matka, ojciec, rodzice, rodzina, rodzina: kobieta, chłopiec i chłopiec, tata
👩‍👧	dziecko, dziewczynka, kobieta, mama, matka, ojciec, rodzice, rodzina, rodzina: kobieta i dziewczynka, tata
👩‍👧‍👦	chłopiec, dziecko, dziewczynka, kobieta, mama, matka, ojciec, rodzice, rodzina, rodzina: kobieta, dziewczynka i chłopiec, tata
👩‍👧‍👧	dziecko, dziewczynka, kobieta, mama, matka, ojciec, rodzice, rodzina, rodzina: kobieta, dziewczynka i dziewczynka, tata
🤳🏻	aparat, karnacja jasna, selfie, selfie: karnacja jasna, telefon, zdjęcie
🤳🏼	aparat, karnacja średnio jasna, selfie, selfie: karnacja średnio jasna, telefon, zdjęcie
🤳🏽	aparat, karnacja średnia, selfie, selfie: karnacja średnia, telefon, zdjęcie
🤳🏾	aparat, karnacja średnio ciemna, selfie, selfie: karnacja średnio ciemna, telefon, zdjęcie
🤳🏿	aparat, karnacja ciemna, selfie, selfie: karnacja ciemna, telefon, zdjęcie
💪🏻	karnacja jasna, mięśnie, muskularny, muskuły, napięty biceps, napięty biceps: karnacja jasna, silny, siła
💪🏼	karnacja średnio jasna, mięśnie, muskularny, muskuły, napięty biceps, napięty biceps: karnacja średnio jasna, silny, siła
💪🏽	karnacja średnia, mięśnie, muskularny, muskuły, napięty biceps, napięty biceps: karnacja średnia, silny, siła
💪🏾	karnacja średnio ciemna, mięśnie, muskularny, muskuły, napięty biceps, napięty biceps: karnacja średnio ciemna, silny, siła
💪🏿	karnacja ciemna, mięśnie, muskularny, muskuły, napięty biceps, napięty biceps: karnacja ciemna, silny, siła
👈🏻	karnacja jasna, lewa strona, palec, palec w lewo, palec w lewo: karnacja jasna, w lewo, wskazujący
👈🏼	karnacja średnio jasna, lewa strona, palec, palec w lewo, palec w lewo: karnacja średnio jasna, w lewo, wskazujący
👈🏽	karnacja średnia, lewa strona, palec, palec w lewo, palec w lewo: karnacja średnia, w lewo, wskazujący
👈🏾	karnacja średnio ciemna, lewa strona, palec, palec w lewo, palec w lewo: karnacja średnio ciemna, w lewo, wskazujący
👈🏿	karnacja ciemna, lewa strona, palec, palec w lewo, palec w lewo: karnacja ciemna, w lewo, wskazujący
👉🏻	dłoń z palcem wskazującym w prawo, dłoń z palcem wskazującym w prawo: karnacja jasna, karnacja jasna, palec, prawa strona, w prawo, wskazujący
👉🏼	dłoń z palcem wskazującym w prawo, dłoń z palcem wskazującym w prawo: karnacja średnio jasna, karnacja średnio jasna, palec, prawa strona, w prawo, wskazujący
👉🏽	dłoń z palcem wskazującym w prawo, dłoń z palcem wskazującym w prawo: karnacja średnia, karnacja średnia, palec, prawa strona, w prawo, wskazujący
👉🏾	dłoń z palcem wskazującym w prawo, dłoń z palcem wskazującym w prawo: karnacja średnio ciemna, karnacja średnio ciemna, palec, prawa strona, w prawo, wskazujący
👉🏿	dłoń z palcem wskazującym w prawo, dłoń z palcem wskazującym w prawo: karnacja ciemna, karnacja ciemna, palec, prawa strona, w prawo, wskazujący
☝🏻	do góry, góra, karnacja jasna, palec, palec wskazujący w górę, palec wskazujący w górę: karnacja jasna, w górę, wskazujący
☝🏼	do góry, góra, karnacja średnio jasna, palec, palec wskazujący w górę, palec wskazujący w górę: karnacja średnio jasna, w górę, wskazujący
☝🏽	do góry, góra, karnacja średnia, palec, palec wskazujący w górę, palec wskazujący w górę: karnacja średnia, w górę, wskazujący
☝🏾	do góry, góra, karnacja średnio ciemna, palec, palec wskazujący w górę, palec wskazujący w górę: karnacja średnio ciemna, w górę, wskazujący
☝🏿	do góry, góra, karnacja ciemna, palec, palec wskazujący w górę, palec wskazujący w górę: karnacja ciemna, w górę, wskazujący
👆🏻	do góry, dłoń z palcem wskazującym w górę, dłoń z palcem wskazującym w górę: karnacja jasna, góra, karnacja jasna, palec, w górę, wskazujący
👆🏼	do góry, dłoń z palcem wskazującym w górę, dłoń z palcem wskazującym w górę: karnacja średnio jasna, góra, karnacja średnio jasna, palec, w górę, wskazujący
👆🏽	do góry, dłoń z palcem wskazującym w górę, dłoń z palcem wskazującym w górę: karnacja średnia, góra, karnacja średnia, palec, w górę, wskazujący
👆🏾	do góry, dłoń z palcem wskazującym w górę, dłoń z palcem wskazującym w górę: karnacja średnio ciemna, góra, karnacja średnio ciemna, palec, w górę, wskazujący
👆🏿	do góry, dłoń z palcem wskazującym w górę, dłoń z palcem wskazującym w górę: karnacja ciemna, góra, karnacja ciemna, palec, w górę, wskazujący
🖕🏻	gest, karnacja jasna, wulgarny gest, środkowy palec, środkowy palec: karnacja jasna
🖕🏼	gest, karnacja średnio jasna, wulgarny gest, środkowy palec, środkowy palec: karnacja średnio jasna
🖕🏽	gest, karnacja średnia, wulgarny gest, środkowy palec, środkowy palec: karnacja średnia
🖕🏾	gest, karnacja średnio ciemna, wulgarny gest, środkowy palec, środkowy palec: karnacja średnio ciemna
🖕🏿	gest, karnacja ciemna, wulgarny gest, środkowy palec, środkowy palec: karnacja ciemna
👇🏻	dół, dłoń z palcem wskazującym w dół, dłoń z palcem wskazującym w dół: karnacja jasna, karnacja jasna, na dół, palec, w dół, wskazujący
👇🏼	dół, dłoń z palcem wskazującym w dół, dłoń z palcem wskazującym w dół: karnacja średnio jasna, karnacja średnio jasna, na dół, palec, w dół, wskazujący
👇🏽	dół, dłoń z palcem wskazującym w dół, dłoń z palcem wskazującym w dół: karnacja średnia, karnacja średnia, na dół, palec, w dół, wskazujący
👇🏾	dół, dłoń z palcem wskazującym w dół, dłoń z palcem wskazującym w dół: karnacja średnio ciemna, karnacja średnio ciemna, na dół, palec, w dół, wskazujący
👇🏿	dół, dłoń z palcem wskazującym w dół, dłoń z palcem wskazującym w dół: karnacja ciemna, karnacja ciemna, na dół, palec, w dół, wskazujący
✌🏻	gest V, gest V: karnacja jasna, gest zwycięstwa, karnacja jasna, znak V, znak Victorii
✌🏼	gest V, gest V: karnacja średnio jasna, gest zwycięstwa, karnacja średnio jasna, znak V, znak Victorii
✌🏽	gest V, gest V: karnacja średnia, gest zwycięstwa, karnacja średnia, znak V, znak Victorii
✌🏾	gest V, gest V: karnacja średnio ciemna, gest zwycięstwa, karnacja średnio ciemna, znak V, znak Victorii
✌🏿	gest V, gest V: karnacja ciemna, gest zwycięstwa, karnacja ciemna, znak V, znak Victorii
🤞🏻	karnacja jasna, kciuki, powodzenia, skrzyżowane palce, skrzyżowane palce: karnacja jasna, trzymać
🤞🏼	karnacja średnio jasna, kciuki, powodzenia, skrzyżowane palce, skrzyżowane palce: karnacja średnio jasna, trzymać
🤞🏽	karnacja średnia, kciuki, powodzenia, skrzyżowane palce, skrzyżowane palce: karnacja średnia, trzymać
🤞🏾	karnacja średnio ciemna, kciuki, powodzenia, skrzyżowane palce, skrzyżowane palce: karnacja średnio ciemna, trzymać
🤞🏿	karnacja ciemna, kciuki, powodzenia, skrzyżowane palce, skrzyżowane palce: karnacja ciemna, trzymać
🖖🏻	dłoń, karnacja jasna, palce, salut wolkański, salut wolkański: karnacja jasna, wolkański
🖖🏼	dłoń, karnacja średnio jasna, palce, salut wolkański, salut wolkański: karnacja średnio jasna, wolkański
🖖🏽	dłoń, karnacja średnia, palce, salut wolkański, salut wolkański: karnacja średnia, wolkański
🖖🏾	dłoń, karnacja średnio ciemna, palce, salut wolkański, salut wolkański: karnacja średnio ciemna, wolkański
🖖🏿	dłoń, karnacja ciemna, palce, salut wolkański, salut wolkański: karnacja ciemna, wolkański
🤘🏻	gest rogów, gest rogów: karnacja jasna, karnacja jasna, rocker, rogi, znak rockersów
🤘🏼	gest rogów, gest rogów: karnacja średnio jasna, karnacja średnio jasna, rocker, rogi, znak rockersów
🤘🏽	gest rogów, gest rogów: karnacja średnia, karnacja średnia, rocker, rogi, znak rockersów
🤘🏾	gest rogów, gest rogów: karnacja średnio ciemna, karnacja średnio ciemna, rocker, rogi, znak rockersów
🤘🏿	gest rogów, gest rogów: karnacja ciemna, karnacja ciemna, rocker, rogi, znak rockersów
🤙🏻	dzwonić, dłoń w geście „Zadzwoń do mnie”, dłoń w geście „Zadzwoń do mnie”: karnacja jasna, karnacja jasna, telefonować
🤙🏼	dzwonić, dłoń w geście „Zadzwoń do mnie”, dłoń w geście „Zadzwoń do mnie”: karnacja średnio jasna, karnacja średnio jasna, telefonować
🤙🏽	dzwonić, dłoń w geście „Zadzwoń do mnie”, dłoń w geście „Zadzwoń do mnie”: karnacja średnia, karnacja średnia, telefonować
🤙🏾	dzwonić, dłoń w geście „Zadzwoń do mnie”, dłoń w geście „Zadzwoń do mnie”: karnacja średnio ciemna, karnacja średnio ciemna, telefonować
🤙🏿	dzwonić, dłoń w geście „Zadzwoń do mnie”, dłoń w geście „Zadzwoń do mnie”: karnacja ciemna, karnacja ciemna, telefonować
🖐🏻	karnacja jasna, otwarta dłoń wszystkie palce, palce, rozpostarte palce, uniesiona otwarta dłoń, uniesiona otwarta dłoń: karnacja jasna
🖐🏼	karnacja średnio jasna, otwarta dłoń wszystkie palce, palce, rozpostarte palce, uniesiona otwarta dłoń, uniesiona otwarta dłoń: karnacja średnio jasna
🖐🏽	karnacja średnia, otwarta dłoń wszystkie palce, palce, rozpostarte palce, uniesiona otwarta dłoń, uniesiona otwarta dłoń: karnacja średnia
🖐🏾	karnacja średnio ciemna, otwarta dłoń wszystkie palce, palce, rozpostarte palce, uniesiona otwarta dłoń, uniesiona otwarta dłoń: karnacja średnio ciemna
🖐🏿	karnacja ciemna, otwarta dłoń wszystkie palce, palce, rozpostarte palce, uniesiona otwarta dłoń, uniesiona otwarta dłoń: karnacja ciemna
✋🏻	dłoń, karnacja jasna, stop, uwaga, wzniesiona dłoń, wzniesiona dłoń: karnacja jasna
✋🏼	dłoń, karnacja średnio jasna, stop, uwaga, wzniesiona dłoń, wzniesiona dłoń: karnacja średnio jasna
✋🏽	dłoń, karnacja średnia, stop, uwaga, wzniesiona dłoń, wzniesiona dłoń: karnacja średnia
✋🏾	dłoń, karnacja średnio ciemna, stop, uwaga, wzniesiona dłoń, wzniesiona dłoń: karnacja średnio ciemna
✋🏿	dłoń, karnacja ciemna, stop, uwaga, wzniesiona dłoń, wzniesiona dłoń: karnacja ciemna
👌🏻	dłoń z gestem OK, dłoń z gestem OK: karnacja jasna, karnacja jasna, znak OK
👌🏼	dłoń z gestem OK, dłoń z gestem OK: karnacja średnio jasna, karnacja średnio jasna, znak OK
👌🏽	dłoń z gestem OK, dłoń z gestem OK: karnacja średnia, karnacja średnia, znak OK
👌🏾	dłoń z gestem OK, dłoń z gestem OK: karnacja średnio ciemna, karnacja średnio ciemna, znak OK
👌🏿	dłoń z gestem OK, dłoń z gestem OK: karnacja ciemna, karnacja ciemna, znak OK
👍🏻	OK, brawo, karnacja jasna, kciuk w górę, kciuk w górę: karnacja jasna, lubię, podoba mi się
👍🏼	OK, brawo, karnacja średnio jasna, kciuk w górę, kciuk w górę: karnacja średnio jasna, lubię, podoba mi się
👍🏽	OK, brawo, karnacja średnia, kciuk w górę, kciuk w górę: karnacja średnia, lubię, podoba mi się
👍🏾	OK, brawo, karnacja średnio ciemna, kciuk w górę, kciuk w górę: karnacja średnio ciemna, lubię, podoba mi się
👍🏿	OK, brawo, karnacja ciemna, kciuk w górę, kciuk w górę: karnacja ciemna, lubię, podoba mi się
👎🏻	brzydkie, karnacja jasna, kciuk w dół, kciuk w dół: karnacja jasna, nie lubię, nie podoba mi się
👎🏼	brzydkie, karnacja średnio jasna, kciuk w dół, kciuk w dół: karnacja średnio jasna, nie lubię, nie podoba mi się
👎🏽	brzydkie, karnacja średnia, kciuk w dół, kciuk w dół: karnacja średnia, nie lubię, nie podoba mi się
👎🏾	brzydkie, karnacja średnio ciemna, kciuk w dół, kciuk w dół: karnacja średnio ciemna, nie lubię, nie podoba mi się
👎🏿	brzydkie, karnacja ciemna, kciuk w dół, kciuk w dół: karnacja ciemna, nie lubię, nie podoba mi się
✊🏻	karnacja jasna, pięść, uniesiona, wzniesiona pięść, wzniesiona pięść: karnacja jasna, zaciśnięta
✊🏼	karnacja średnio jasna, pięść, uniesiona, wzniesiona pięść, wzniesiona pięść: karnacja średnio jasna, zaciśnięta
✊🏽	karnacja średnia, pięść, uniesiona, wzniesiona pięść, wzniesiona pięść: karnacja średnia, zaciśnięta
✊🏾	karnacja średnio ciemna, pięść, uniesiona, wzniesiona pięść, wzniesiona pięść: karnacja średnio ciemna, zaciśnięta
✊🏿	karnacja ciemna, pięść, uniesiona, wzniesiona pięść, wzniesiona pięść: karnacja ciemna, zaciśnięta
👊🏻	cios pięścią, karnacja jasna, pięść, pięść od przodu, pięść od przodu: karnacja jasna, prawy prosty, sierpowy, zaciśnięta pięść
👊🏼	cios pięścią, karnacja średnio jasna, pięść, pięść od przodu, pięść od przodu: karnacja średnio jasna, prawy prosty, sierpowy, zaciśnięta pięść
👊🏽	cios pięścią, karnacja średnia, pięść, pięść od przodu, pięść od przodu: karnacja średnia, prawy prosty, sierpowy, zaciśnięta pięść
👊🏾	cios pięścią, karnacja średnio ciemna, pięść, pięść od przodu, pięść od przodu: karnacja średnio ciemna, prawy prosty, sierpowy, zaciśnięta pięść
👊🏿	cios pięścią, karnacja ciemna, pięść, pięść od przodu, pięść od przodu: karnacja ciemna, prawy prosty, sierpowy, zaciśnięta pięść
🤛🏻	cios, karnacja jasna, pięść, pięść skierowana w lewo, pięść skierowana w lewo: karnacja jasna, uderzenie z prawej
🤛🏼	cios, karnacja średnio jasna, pięść, pięść skierowana w lewo, pięść skierowana w lewo: karnacja średnio jasna, uderzenie z prawej
🤛🏽	cios, karnacja średnia, pięść, pięść skierowana w lewo, pięść skierowana w lewo: karnacja średnia, uderzenie z prawej
🤛🏾	cios, karnacja średnio ciemna, pięść, pięść skierowana w lewo, pięść skierowana w lewo: karnacja średnio ciemna, uderzenie z prawej
🤛🏿	cios, karnacja ciemna, pięść, pięść skierowana w lewo, pięść skierowana w lewo: karnacja ciemna, uderzenie z prawej
🤜🏻	cios, karnacja jasna, pięść, pięść skierowana w prawo, pięść skierowana w prawo: karnacja jasna, uderzenie z lewej
🤜🏼	cios, karnacja średnio jasna, pięść, pięść skierowana w prawo, pięść skierowana w prawo: karnacja średnio jasna, uderzenie z lewej
🤜🏽	cios, karnacja średnia, pięść, pięść skierowana w prawo, pięść skierowana w prawo: karnacja średnia, uderzenie z lewej
🤜🏾	cios, karnacja średnio ciemna, pięść, pięść skierowana w prawo, pięść skierowana w prawo: karnacja średnio ciemna, uderzenie z lewej
🤜🏿	cios, karnacja ciemna, pięść, pięść skierowana w prawo, pięść skierowana w prawo: karnacja ciemna, uderzenie z lewej
🤚🏻	karnacja jasna, powitanie, pozdrowienie, pożegnanie, uniesiona dłoń, wzniesiony grzbiet dłoni, wzniesiony grzbiet dłoni: karnacja jasna
🤚🏼	karnacja średnio jasna, powitanie, pozdrowienie, pożegnanie, uniesiona dłoń, wzniesiony grzbiet dłoni, wzniesiony grzbiet dłoni: karnacja średnio jasna
🤚🏽	karnacja średnia, powitanie, pozdrowienie, pożegnanie, uniesiona dłoń, wzniesiony grzbiet dłoni, wzniesiony grzbiet dłoni: karnacja średnia
🤚🏾	karnacja średnio ciemna, powitanie, pozdrowienie, pożegnanie, uniesiona dłoń, wzniesiony grzbiet dłoni, wzniesiony grzbiet dłoni: karnacja średnio ciemna
🤚🏿	karnacja ciemna, powitanie, pozdrowienie, pożegnanie, uniesiona dłoń, wzniesiony grzbiet dłoni, wzniesiony grzbiet dłoni: karnacja ciemna
👋🏻	karnacja jasna, machająca dłoń, machająca dłoń: karnacja jasna
👋🏼	karnacja średnio jasna, machająca dłoń, machająca dłoń: karnacja średnio jasna
👋🏽	karnacja średnia, machająca dłoń, machająca dłoń: karnacja średnia
👋🏾	karnacja średnio ciemna, machająca dłoń, machająca dłoń: karnacja średnio ciemna
👋🏿	karnacja ciemna, machająca dłoń, machająca dłoń: karnacja ciemna
🤟🏻	gest Kocham cię, gest Kocham cię: karnacja jasna, karnacja jasna, kocham, ręka
🤟🏼	gest Kocham cię, gest Kocham cię: karnacja średnio jasna, karnacja średnio jasna, kocham, ręka
🤟🏽	gest Kocham cię, gest Kocham cię: karnacja średnia, karnacja średnia, kocham, ręka
🤟🏾	gest Kocham cię, gest Kocham cię: karnacja średnio ciemna, karnacja średnio ciemna, kocham, ręka
🤟🏿	gest Kocham cię, gest Kocham cię: karnacja ciemna, karnacja ciemna, kocham, ręka
✍🏻	karnacja jasna, pisać, pisać odręcznie, pisząca dłoń, pisząca dłoń: karnacja jasna, piszę
✍🏼	karnacja średnio jasna, pisać, pisać odręcznie, pisząca dłoń, pisząca dłoń: karnacja średnio jasna, piszę
✍🏽	karnacja średnia, pisać, pisać odręcznie, pisząca dłoń, pisząca dłoń: karnacja średnia, piszę
✍🏾	karnacja średnio ciemna, pisać, pisać odręcznie, pisząca dłoń, pisząca dłoń: karnacja średnio ciemna, piszę
✍🏿	karnacja ciemna, pisać, pisać odręcznie, pisząca dłoń, pisząca dłoń: karnacja ciemna, piszę
👏🏻	brawa, karnacja jasna, klaskanie, klaskanie: karnacja jasna, klaskać, oklaski
👏🏼	brawa, karnacja średnio jasna, klaskanie, klaskanie: karnacja średnio jasna, klaskać, oklaski
👏🏽	brawa, karnacja średnia, klaskanie, klaskanie: karnacja średnia, klaskać, oklaski
👏🏾	brawa, karnacja średnio ciemna, klaskanie, klaskanie: karnacja średnio ciemna, klaskać, oklaski
👏🏿	brawa, karnacja ciemna, klaskanie, klaskanie: karnacja ciemna, klaskać, oklaski
👐🏻	karnacja jasna, otwarte dłonie, otwarte dłonie: karnacja jasna, puste ręce, złapać
👐🏼	karnacja średnio jasna, otwarte dłonie, otwarte dłonie: karnacja średnio jasna, puste ręce, złapać
👐🏽	karnacja średnia, otwarte dłonie, otwarte dłonie: karnacja średnia, puste ręce, złapać
👐🏾	karnacja średnio ciemna, otwarte dłonie, otwarte dłonie: karnacja średnio ciemna, puste ręce, złapać
👐🏿	karnacja ciemna, otwarte dłonie, otwarte dłonie: karnacja ciemna, puste ręce, złapać
🙌🏻	hura!, karnacja jasna, super, wzniesione ręce, wzniesione ręce: karnacja jasna
🙌🏼	hura!, karnacja średnio jasna, super, wzniesione ręce, wzniesione ręce: karnacja średnio jasna
🙌🏽	hura!, karnacja średnia, super, wzniesione ręce, wzniesione ręce: karnacja średnia
🙌🏾	hura!, karnacja średnio ciemna, super, wzniesione ręce, wzniesione ręce: karnacja średnio ciemna
🙌🏿	hura!, karnacja ciemna, super, wzniesione ręce, wzniesione ręce: karnacja ciemna
🤲🏻	dłonie do góry razem, dłonie do góry razem: karnacja jasna, karnacja jasna, modlitwa
🤲🏼	dłonie do góry razem, dłonie do góry razem: karnacja średnio jasna, karnacja średnio jasna, modlitwa
🤲🏽	dłonie do góry razem, dłonie do góry razem: karnacja średnia, karnacja średnia, modlitwa
🤲🏾	dłonie do góry razem, dłonie do góry razem: karnacja średnio ciemna, karnacja średnio ciemna, modlitwa
🤲🏿	dłonie do góry razem, dłonie do góry razem: karnacja ciemna, karnacja ciemna, modlitwa
🙏🏻	karnacja jasna, złożone ręce, złożone ręce: karnacja jasna
🙏🏼	karnacja średnio jasna, złożone ręce, złożone ręce: karnacja średnio jasna
