🦵🏻	gjymtyrë, këmbë, këmbë: nuancë lëkure e çelët, nuancë lëkure e çelët, shkelm
🎅🏻	babagjyshi i krishtlindjes, babagjyshi i krishtlindjes: nuancë lëkure e çelët, festim, krishtlindje, nuancë lëkure e çelët, përrallë
🎅🏼	babagjyshi i krishtlindjes, babagjyshi i krishtlindjes: nuancë lëkure gjysmë e çelët, festim, krishtlindje, nuancë lëkure gjysmë e çelët, përrallë
🎅🏽	babagjyshi i krishtlindjes, babagjyshi i krishtlindjes: nuancë lëkure zeshkane, festim, krishtlindje, nuancë lëkure zeshkane, përrallë
🎅🏾	babagjyshi i krishtlindjes, babagjyshi i krishtlindjes: nuancë lëkure gjysmë e errët, festim, krishtlindje, nuancë lëkure gjysmë e errët, përrallë
🎅🏿	babagjyshi i krishtlindjes, babagjyshi i krishtlindjes: nuancë lëkure e errët, festim, krishtlindje, nuancë lëkure e errët, përrallë
🤶🏻	gjyshe, gjyshe krishtlindjesh, gjyshe krishtlindjesh: nuancë lëkure e çelët, krishtlindje, nuancë lëkure e çelët
🤶🏼	gjyshe, gjyshe krishtlindjesh, gjyshe krishtlindjesh: nuancë lëkure gjysmë e çelët, krishtlindje, nuancë lëkure gjysmë e çelët
🤶🏽	gjyshe, gjyshe krishtlindjesh, gjyshe krishtlindjesh: nuancë lëkure zeshkane, krishtlindje, nuancë lëkure zeshkane
🤶🏾	gjyshe, gjyshe krishtlindjesh, gjyshe krishtlindjesh: nuancë lëkure gjysmë e errët, krishtlindje, nuancë lëkure gjysmë e errët
🤶🏿	gjyshe, gjyshe krishtlindjesh, gjyshe krishtlindjesh: nuancë lëkure e errët, krishtlindje, nuancë lëkure e errët
🧙🏻	magjistar, magjistar: nuancë lëkure e çelët, magjistricë, nuancë lëkure e çelët, shtrigë
🧙🏼	magjistar, magjistar: nuancë lëkure gjysmë e çelët, magjistricë, nuancë lëkure gjysmë e çelët, shtrigë
🧙🏽	magjistar, magjistar: nuancë lëkure zeshkane, magjistricë, nuancë lëkure zeshkane, shtrigë
🧙🏾	magjistar, magjistar: nuancë lëkure gjysmë e errët, magjistricë, nuancë lëkure gjysmë e errët, shtrigë
🧙🏿	magjistar, magjistar: nuancë lëkure e errët, magjistricë, nuancë lëkure e errët, shtrigë
🧙🏻‍♀	magjistare, magjistare: nuancë lëkure e çelët, magjistricë, nuancë lëkure e çelët, shtrigë
🧙🏼‍♀	magjistare, magjistare: nuancë lëkure gjysmë e çelët, magjistricë, nuancë lëkure gjysmë e çelët, shtrigë
🧙🏽‍♀	magjistare, magjistare: nuancë lëkure zeshkane, magjistricë, nuancë lëkure zeshkane, shtrigë
🧙🏾‍♀	magjistare, magjistare: nuancë lëkure gjysmë e errët, magjistricë, nuancë lëkure gjysmë e errët, shtrigë
🧙🏿‍♀	magjistare, magjistare: nuancë lëkure e errët, magjistricë, nuancë lëkure e errët, shtrigë
🧙🏻‍♂	burrë magjistar, burrë magjistar: nuancë lëkure e çelët, magjistar, nuancë lëkure e çelët, shtrigan
🧙🏼‍♂	burrë magjistar, burrë magjistar: nuancë lëkure gjysmë e çelët, magjistar, nuancë lëkure gjysmë e çelët, shtrigan
🧙🏽‍♂	burrë magjistar, burrë magjistar: nuancë lëkure zeshkane, magjistar, nuancë lëkure zeshkane, shtrigan
🧙🏾‍♂	burrë magjistar, burrë magjistar: nuancë lëkure gjysmë e errët, magjistar, nuancë lëkure gjysmë e errët, shtrigan
🧙🏿‍♂	burrë magjistar, burrë magjistar: nuancë lëkure e errët, magjistar, nuancë lëkure e errët, shtrigan
🧚🏻	Oberoni, Puku, Titania, nuancë lëkure e çelët, zanë, zanë: nuancë lëkure e çelët
🧚🏼	Oberoni, Puku, Titania, nuancë lëkure gjysmë e çelët, zanë, zanë: nuancë lëkure gjysmë e çelët
🧚🏽	Oberoni, Puku, Titania, nuancë lëkure zeshkane, zanë, zanë: nuancë lëkure zeshkane
🧚🏾	Oberoni, Puku, Titania, nuancë lëkure gjysmë e errët, zanë, zanë: nuancë lëkure gjysmë e errët
🧚🏿	Oberoni, Puku, Titania, nuancë lëkure e errët, zanë, zanë: nuancë lëkure e errët
🧚🏻‍♀	Titania, grua zanë, grua zanë: nuancë lëkure e çelët, nuancë lëkure e çelët
🧚🏼‍♀	Titania, grua zanë, grua zanë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
🧚🏽‍♀	Titania, grua zanë, grua zanë: nuancë lëkure zeshkane, nuancë lëkure zeshkane
🧚🏾‍♀	Titania, grua zanë, grua zanë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
🧚🏿‍♀	Titania, grua zanë, grua zanë: nuancë lëkure e errët, nuancë lëkure e errët
🧚🏻‍♂	Oberoni, Puku, burrë zanë, burrë zanë: nuancë lëkure e çelët, nuancë lëkure e çelët
🧚🏼‍♂	Oberoni, Puku, burrë zanë, burrë zanë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
🧚🏽‍♂	Oberoni, Puku, burrë zanë, burrë zanë: nuancë lëkure zeshkane, nuancë lëkure zeshkane
🧚🏾‍♂	Oberoni, Puku, burrë zanë, burrë zanë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
🧚🏿‍♂	Oberoni, Puku, burrë zanë, burrë zanë: nuancë lëkure e errët, nuancë lëkure e errët
🧛🏻	Drakula, i pavdekur, nuancë lëkure e çelët, vampir, vampir: nuancë lëkure e çelët
🧛🏼	Drakula, i pavdekur, nuancë lëkure gjysmë e çelët, vampir, vampir: nuancë lëkure gjysmë e çelët
🧛🏽	Drakula, i pavdekur, nuancë lëkure zeshkane, vampir, vampir: nuancë lëkure zeshkane
🧛🏾	Drakula, i pavdekur, nuancë lëkure gjysmë e errët, vampir, vampir: nuancë lëkure gjysmë e errët
🧛🏿	Drakula, i pavdekur, nuancë lëkure e errët, vampir, vampir: nuancë lëkure e errët
🧛🏻‍♀	e pavdekur, grua vampir, grua vampir: nuancë lëkure e çelët, nuancë lëkure e çelët
🧛🏼‍♀	e pavdekur, grua vampir, grua vampir: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
🧛🏽‍♀	e pavdekur, grua vampir, grua vampir: nuancë lëkure zeshkane, nuancë lëkure zeshkane
🧛🏾‍♀	e pavdekur, grua vampir, grua vampir: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
🧛🏿‍♀	e pavdekur, grua vampir, grua vampir: nuancë lëkure e errët, nuancë lëkure e errët
🧛🏻‍♂	Drakula, burrë vampir, burrë vampir: nuancë lëkure e çelët, i pavdekur, nuancë lëkure e çelët
🧛🏼‍♂	Drakula, burrë vampir, burrë vampir: nuancë lëkure gjysmë e çelët, i pavdekur, nuancë lëkure gjysmë e çelët
🧛🏽‍♂	Drakula, burrë vampir, burrë vampir: nuancë lëkure zeshkane, i pavdekur, nuancë lëkure zeshkane
🧛🏾‍♂	Drakula, burrë vampir, burrë vampir: nuancë lëkure gjysmë e errët, i pavdekur, nuancë lëkure gjysmë e errët
🧛🏿‍♂	Drakula, burrë vampir, burrë vampir: nuancë lëkure e errët, i pavdekur, nuancë lëkure e errët
🧜🏻	nuancë lëkure e çelët, sirenë deti, sirenë deti: nuancë lëkure e çelët
🧜🏼	nuancë lëkure gjysmë e çelët, sirenë deti, sirenë deti: nuancë lëkure gjysmë e çelët
🧜🏽	nuancë lëkure zeshkane, sirenë deti, sirenë deti: nuancë lëkure zeshkane
🧜🏾	nuancë lëkure gjysmë e errët, sirenë deti, sirenë deti: nuancë lëkure gjysmë e errët
🧜🏿	nuancë lëkure e errët, sirenë deti, sirenë deti: nuancë lëkure e errët
🧜🏻‍♀	grua sirenë, grua sirenë: nuancë lëkure e çelët, nuancë lëkure e çelët, sirenë deti
🧜🏼‍♀	grua sirenë, grua sirenë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, sirenë deti
🧜🏽‍♀	grua sirenë, grua sirenë: nuancë lëkure zeshkane, nuancë lëkure zeshkane, sirenë deti
🧜🏾‍♀	grua sirenë, grua sirenë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, sirenë deti
🧜🏿‍♀	grua sirenë, grua sirenë: nuancë lëkure e errët, nuancë lëkure e errët, sirenë deti
🧜🏻‍♂	Triton, burrë sirenë, burrë sirenë: nuancë lëkure e çelët, nuancë lëkure e çelët
🧜🏼‍♂	Triton, burrë sirenë, burrë sirenë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
🧜🏽‍♂	Triton, burrë sirenë, burrë sirenë: nuancë lëkure zeshkane, nuancë lëkure zeshkane
🧜🏾‍♂	Triton, burrë sirenë, burrë sirenë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
🧜🏿‍♂	Triton, burrë sirenë, burrë sirenë: nuancë lëkure e errët, nuancë lëkure e errët
🧝🏻	kukudh, kukudh: nuancë lëkure e çelët, magjik, nuancë lëkure e çelët
🧝🏼	kukudh, kukudh: nuancë lëkure gjysmë e çelët, magjik, nuancë lëkure gjysmë e çelët
🧝🏽	kukudh, kukudh: nuancë lëkure zeshkane, magjik, nuancë lëkure zeshkane
🧝🏾	kukudh, kukudh: nuancë lëkure gjysmë e errët, magjik, nuancë lëkure gjysmë e errët
🧝🏿	kukudh, kukudh: nuancë lëkure e errët, magjik, nuancë lëkure e errët
🧝🏻‍♀	grua kukudh, grua kukudh: nuancë lëkure e çelët, magjik, nuancë lëkure e çelët
🧝🏼‍♀	grua kukudh, grua kukudh: nuancë lëkure gjysmë e çelët, magjik, nuancë lëkure gjysmë e çelët
🧝🏽‍♀	grua kukudh, grua kukudh: nuancë lëkure zeshkane, magjik, nuancë lëkure zeshkane
🧝🏾‍♀	grua kukudh, grua kukudh: nuancë lëkure gjysmë e errët, magjik, nuancë lëkure gjysmë e errët
🧝🏿‍♀	grua kukudh, grua kukudh: nuancë lëkure e errët, magjik, nuancë lëkure e errët
🧝🏻‍♂	burrë kukudh, burrë kukudh: nuancë lëkure e çelët, magjik, nuancë lëkure e çelët
🧝🏼‍♂	burrë kukudh, burrë kukudh: nuancë lëkure gjysmë e çelët, magjik, nuancë lëkure gjysmë e çelët
🧝🏽‍♂	burrë kukudh, burrë kukudh: nuancë lëkure zeshkane, magjik, nuancë lëkure zeshkane
🧝🏾‍♂	burrë kukudh, burrë kukudh: nuancë lëkure gjysmë e errët, magjik, nuancë lëkure gjysmë e errët
🧝🏿‍♂	burrë kukudh, burrë kukudh: nuancë lëkure e errët, magjik, nuancë lëkure e errët
🙍🏻	gjest, njeri i vrenjtur, njeri i vrenjtur: nuancë lëkure e çelët, nuancë lëkure e çelët, vrenjtje
🙍🏼	gjest, njeri i vrenjtur, njeri i vrenjtur: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, vrenjtje
🙍🏽	gjest, njeri i vrenjtur, njeri i vrenjtur: nuancë lëkure zeshkane, nuancë lëkure zeshkane, vrenjtje
🙍🏾	gjest, njeri i vrenjtur, njeri i vrenjtur: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, vrenjtje
🙍🏿	gjest, njeri i vrenjtur, njeri i vrenjtur: nuancë lëkure e errët, nuancë lëkure e errët, vrenjtje
🙍🏻‍♂	burrë, burrë i vrenjtur, burrë i vrenjtur: nuancë lëkure e çelët, gjest, i vrenjtur, nuancë lëkure e çelët
🙍🏼‍♂	burrë, burrë i vrenjtur, burrë i vrenjtur: nuancë lëkure gjysmë e çelët, gjest, i vrenjtur, nuancë lëkure gjysmë e çelët
🙍🏽‍♂	burrë, burrë i vrenjtur, burrë i vrenjtur: nuancë lëkure zeshkane, gjest, i vrenjtur, nuancë lëkure zeshkane
🙍🏾‍♂	burrë, burrë i vrenjtur, burrë i vrenjtur: nuancë lëkure gjysmë e errët, gjest, i vrenjtur, nuancë lëkure gjysmë e errët
🙍🏿‍♂	burrë, burrë i vrenjtur, burrë i vrenjtur: nuancë lëkure e errët, gjest, i vrenjtur, nuancë lëkure e errët
🙍🏻‍♀	e vrenjtur, gjest, grua, grua e vrenjtur, grua e vrenjtur: nuancë lëkure e çelët, nuancë lëkure e çelët
🙍🏼‍♀	e vrenjtur, gjest, grua, grua e vrenjtur, grua e vrenjtur: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
🙍🏽‍♀	e vrenjtur, gjest, grua, grua e vrenjtur, grua e vrenjtur: nuancë lëkure zeshkane, nuancë lëkure zeshkane
🙍🏾‍♀	e vrenjtur, gjest, grua, grua e vrenjtur, grua e vrenjtur: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
🙍🏿‍♀	e vrenjtur, gjest, grua, grua e vrenjtur, grua e vrenjtur: nuancë lëkure e errët, nuancë lëkure e errët
🙎🏻	gjest, i pakënaqur, njeri i pakënaqur, njeri i pakënaqur: nuancë lëkure e çelët, nuancë lëkure e çelët
🙎🏼	gjest, i pakënaqur, njeri i pakënaqur, njeri i pakënaqur: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
🙎🏽	gjest, i pakënaqur, njeri i pakënaqur, njeri i pakënaqur: nuancë lëkure zeshkane, nuancë lëkure zeshkane
🙎🏾	gjest, i pakënaqur, njeri i pakënaqur, njeri i pakënaqur: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
🙎🏿	gjest, i pakënaqur, njeri i pakënaqur, njeri i pakënaqur: nuancë lëkure e errët, nuancë lëkure e errët
🙎🏻‍♂	burrë, burrë i pakënaqur, burrë i pakënaqur: nuancë lëkure e çelët, gjest, nuancë lëkure e çelët, var buzët
🙎🏼‍♂	burrë, burrë i pakënaqur, burrë i pakënaqur: nuancë lëkure gjysmë e çelët, gjest, nuancë lëkure gjysmë e çelët, var buzët
🙎🏽‍♂	burrë, burrë i pakënaqur, burrë i pakënaqur: nuancë lëkure zeshkane, gjest, nuancë lëkure zeshkane, var buzët
🙎🏾‍♂	burrë, burrë i pakënaqur, burrë i pakënaqur: nuancë lëkure gjysmë e errët, gjest, nuancë lëkure gjysmë e errët, var buzët
🙎🏿‍♂	burrë, burrë i pakënaqur, burrë i pakënaqur: nuancë lëkure e errët, gjest, nuancë lëkure e errët, var buzët
🙎🏻‍♀	gjest, grua, grua e pakënaqur, grua e pakënaqur: nuancë lëkure e çelët, nuancë lëkure e çelët, var buzët
🙎🏼‍♀	gjest, grua, grua e pakënaqur, grua e pakënaqur: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, var buzët
🙎🏽‍♀	gjest, grua, grua e pakënaqur, grua e pakënaqur: nuancë lëkure zeshkane, nuancë lëkure zeshkane, var buzët
🙎🏾‍♀	gjest, grua, grua e pakënaqur, grua e pakënaqur: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, var buzët
🙎🏿‍♀	gjest, grua, grua e pakënaqur, grua e pakënaqur: nuancë lëkure e errët, nuancë lëkure e errët, var buzët
🙅🏻	dorë, gjest, i ndaluar, ndalohet, nuancë lëkure e çelët, «jo» me gjeste, «jo» me gjeste: nuancë lëkure e çelët
🙅🏼	dorë, gjest, i ndaluar, ndalohet, nuancë lëkure gjysmë e çelët, «jo» me gjeste, «jo» me gjeste: nuancë lëkure gjysmë e çelët
🙅🏽	dorë, gjest, i ndaluar, ndalohet, nuancë lëkure zeshkane, «jo» me gjeste, «jo» me gjeste: nuancë lëkure zeshkane
🙅🏾	dorë, gjest, i ndaluar, ndalohet, nuancë lëkure gjysmë e errët, «jo» me gjeste, «jo» me gjeste: nuancë lëkure gjysmë e errët
🙅🏿	dorë, gjest, i ndaluar, ndalohet, nuancë lëkure e errët, «jo» me gjeste, «jo» me gjeste: nuancë lëkure e errët
🙅🏻‍♂	burrë, burrë që bën gjestin e ndaluar, burrë që bën gjestin e ndaluar: nuancë lëkure e çelët, e ndaluar, gjest, jo në rregull, nuancë lëkure e çelët
🙅🏼‍♂	burrë, burrë që bën gjestin e ndaluar, burrë që bën gjestin e ndaluar: nuancë lëkure gjysmë e çelët, e ndaluar, gjest, jo në rregull, nuancë lëkure gjysmë e çelët
🙅🏽‍♂	burrë, burrë që bën gjestin e ndaluar, burrë që bën gjestin e ndaluar: nuancë lëkure zeshkane, e ndaluar, gjest, jo në rregull, nuancë lëkure zeshkane
🙅🏾‍♂	burrë, burrë që bën gjestin e ndaluar, burrë që bën gjestin e ndaluar: nuancë lëkure gjysmë e errët, e ndaluar, gjest, jo në rregull, nuancë lëkure gjysmë e errët
🙅🏿‍♂	burrë, burrë që bën gjestin e ndaluar, burrë që bën gjestin e ndaluar: nuancë lëkure e errët, e ndaluar, gjest, jo në rregull, nuancë lëkure e errët
🙅🏻‍♀	e ndaluar, gjest, grua, grua që bën gjestin e ndaluar, grua që bën gjestin e ndaluar: nuancë lëkure e çelët, jo në rregull, nuancë lëkure e çelët
🙅🏼‍♀	e ndaluar, gjest, grua, grua që bën gjestin e ndaluar, grua që bën gjestin e ndaluar: nuancë lëkure gjysmë e çelët, jo në rregull, nuancë lëkure gjysmë e çelët
🙅🏽‍♀	e ndaluar, gjest, grua, grua që bën gjestin e ndaluar, grua që bën gjestin e ndaluar: nuancë lëkure zeshkane, jo në rregull, nuancë lëkure zeshkane
🙅🏾‍♀	e ndaluar, gjest, grua, grua që bën gjestin e ndaluar, grua që bën gjestin e ndaluar: nuancë lëkure gjysmë e errët, jo në rregull, nuancë lëkure gjysmë e errët
🙅🏿‍♀	e ndaluar, gjest, grua, grua që bën gjestin e ndaluar, grua që bën gjestin e ndaluar: nuancë lëkure e errët, jo në rregull, nuancë lëkure e errët
🙆🏻	dorë, gjest, nuancë lëkure e çelët, në rregull, ok, «në rregull» me gjeste, «në rregull» me gjeste: nuancë lëkure e çelët
🙆🏼	dorë, gjest, nuancë lëkure gjysmë e çelët, në rregull, ok, «në rregull» me gjeste, «në rregull» me gjeste: nuancë lëkure gjysmë e çelët
🙆🏽	dorë, gjest, nuancë lëkure zeshkane, në rregull, ok, «në rregull» me gjeste, «në rregull» me gjeste: nuancë lëkure zeshkane
🙆🏾	dorë, gjest, nuancë lëkure gjysmë e errët, në rregull, ok, «në rregull» me gjeste, «në rregull» me gjeste: nuancë lëkure gjysmë e errët
🙆🏿	dorë, gjest, nuancë lëkure e errët, në rregull, ok, «në rregull» me gjeste, «në rregull» me gjeste: nuancë lëkure e errët
🙆🏻‍♂	burrë, burrë që bën gjestin në rregull, burrë që bën gjestin në rregull: nuancë lëkure e çelët, dorë, gjest, nuancë lëkure e çelët, në rregull
🙆🏼‍♂	burrë, burrë që bën gjestin në rregull, burrë që bën gjestin në rregull: nuancë lëkure gjysmë e çelët, dorë, gjest, nuancë lëkure gjysmë e çelët, në rregull
🙆🏽‍♂	burrë, burrë që bën gjestin në rregull, burrë që bën gjestin në rregull: nuancë lëkure zeshkane, dorë, gjest, nuancë lëkure zeshkane, në rregull
🙆🏾‍♂	burrë, burrë që bën gjestin në rregull, burrë që bën gjestin në rregull: nuancë lëkure gjysmë e errët, dorë, gjest, nuancë lëkure gjysmë e errët, në rregull
🙆🏿‍♂	burrë, burrë që bën gjestin në rregull, burrë që bën gjestin në rregull: nuancë lëkure e errët, dorë, gjest, nuancë lëkure e errët, në rregull
🙆🏻‍♀	dorë, gjest, grua, grua që bën gjestin në rregull, grua që bën gjestin në rregull: nuancë lëkure e çelët, nuancë lëkure e çelët, në rregull
🙆🏼‍♀	dorë, gjest, grua, grua që bën gjestin në rregull, grua që bën gjestin në rregull: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, në rregull
🙆🏽‍♀	dorë, gjest, grua, grua që bën gjestin në rregull, grua që bën gjestin në rregull: nuancë lëkure zeshkane, nuancë lëkure zeshkane, në rregull
🙆🏾‍♀	dorë, gjest, grua, grua që bën gjestin në rregull, grua që bën gjestin në rregull: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, në rregull
🙆🏿‍♀	dorë, gjest, grua, grua që bën gjestin në rregull, grua që bën gjestin në rregull: nuancë lëkure e errët, nuancë lëkure e errët, në rregull
💁🏻	aktiv, dorë, informacion, ndihmë, nuancë lëkure e çelët, personi i sportelit të informacionit, personi i sportelit të informacionit: nuancë lëkure e çelët
💁🏼	aktiv, dorë, informacion, ndihmë, nuancë lëkure gjysmë e çelët, personi i sportelit të informacionit, personi i sportelit të informacionit: nuancë lëkure gjysmë e çelët
💁🏽	aktiv, dorë, informacion, ndihmë, nuancë lëkure zeshkane, personi i sportelit të informacionit, personi i sportelit të informacionit: nuancë lëkure zeshkane
💁🏾	aktiv, dorë, informacion, ndihmë, nuancë lëkure gjysmë e errët, personi i sportelit të informacionit, personi i sportelit të informacionit: nuancë lëkure gjysmë e errët
💁🏿	aktiv, dorë, informacion, ndihmë, nuancë lëkure e errët, personi i sportelit të informacionit, personi i sportelit të informacionit: nuancë lëkure e errët
💁🏻‍♂	burrë, burrë që tregon me dorë, burrë që tregon me dorë: nuancë lëkure e çelët, informacion, nuancë lëkure e çelët, tregues
💁🏼‍♂	burrë, burrë që tregon me dorë, burrë që tregon me dorë: nuancë lëkure gjysmë e çelët, informacion, nuancë lëkure gjysmë e çelët, tregues
💁🏽‍♂	burrë, burrë që tregon me dorë, burrë që tregon me dorë: nuancë lëkure zeshkane, informacion, nuancë lëkure zeshkane, tregues
💁🏾‍♂	burrë, burrë që tregon me dorë, burrë që tregon me dorë: nuancë lëkure gjysmë e errët, informacion, nuancë lëkure gjysmë e errët, tregues
💁🏿‍♂	burrë, burrë që tregon me dorë, burrë që tregon me dorë: nuancë lëkure e errët, informacion, nuancë lëkure e errët, tregues
💁🏻‍♀	grua, grua që tregon me dorë, grua që tregon me dorë: nuancë lëkure e çelët, informacion, nuancë lëkure e çelët, tregues
💁🏼‍♀	grua, grua që tregon me dorë, grua që tregon me dorë: nuancë lëkure gjysmë e çelët, informacion, nuancë lëkure gjysmë e çelët, tregues
💁🏽‍♀	grua, grua që tregon me dorë, grua që tregon me dorë: nuancë lëkure zeshkane, informacion, nuancë lëkure zeshkane, tregues
💁🏾‍♀	grua, grua që tregon me dorë, grua që tregon me dorë: nuancë lëkure gjysmë e errët, informacion, nuancë lëkure gjysmë e errët, tregues
💁🏿‍♀	grua, grua që tregon me dorë, grua që tregon me dorë: nuancë lëkure e errët, informacion, nuancë lëkure e errët, tregues
🙋🏻	dorë, e gëzuar, e ngritur, gjest, njeri i gëzuar që ngre dorën, njeri i gëzuar që ngre dorën: nuancë lëkure e çelët, nuancë lëkure e çelët
🙋🏼	dorë, e gëzuar, e ngritur, gjest, njeri i gëzuar që ngre dorën, njeri i gëzuar që ngre dorën: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
🙋🏽	dorë, e gëzuar, e ngritur, gjest, njeri i gëzuar që ngre dorën, njeri i gëzuar që ngre dorën: nuancë lëkure zeshkane, nuancë lëkure zeshkane
🙋🏾	dorë, e gëzuar, e ngritur, gjest, njeri i gëzuar që ngre dorën, njeri i gëzuar që ngre dorën: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
🙋🏿	dorë, e gëzuar, e ngritur, gjest, njeri i gëzuar që ngre dorën, njeri i gëzuar që ngre dorën: nuancë lëkure e errët, nuancë lëkure e errët
🙋🏻‍♂	burrë, burrë që ngre dorën, burrë që ngre dorën: nuancë lëkure e çelët, dorë e ngritur, gjest, nuancë lëkure e çelët
🙋🏼‍♂	burrë, burrë që ngre dorën, burrë që ngre dorën: nuancë lëkure gjysmë e çelët, dorë e ngritur, gjest, nuancë lëkure gjysmë e çelët
🙋🏽‍♂	burrë, burrë që ngre dorën, burrë që ngre dorën: nuancë lëkure zeshkane, dorë e ngritur, gjest, nuancë lëkure zeshkane
🙋🏾‍♂	burrë, burrë që ngre dorën, burrë që ngre dorën: nuancë lëkure gjysmë e errët, dorë e ngritur, gjest, nuancë lëkure gjysmë e errët
🙋🏿‍♂	burrë, burrë që ngre dorën, burrë që ngre dorën: nuancë lëkure e errët, dorë e ngritur, gjest, nuancë lëkure e errët
🙋🏻‍♀	dorë e ngritur, gjest, grua, grua që ngre dorën, grua që ngre dorën: nuancë lëkure e çelët, nuancë lëkure e çelët
🙋🏼‍♀	dorë e ngritur, gjest, grua, grua që ngre dorën, grua që ngre dorën: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
🙋🏽‍♀	dorë e ngritur, gjest, grua, grua që ngre dorën, grua që ngre dorën: nuancë lëkure zeshkane, nuancë lëkure zeshkane
🙋🏾‍♀	dorë e ngritur, gjest, grua, grua që ngre dorën, grua që ngre dorën: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
🙋🏿‍♀	dorë e ngritur, gjest, grua, grua që ngre dorën, grua që ngre dorën: nuancë lëkure e errët, nuancë lëkure e errët
🙇🏻	falje, gjest, njeri i përkulur, njeri i përkulur: nuancë lëkure e çelët, nuancë lëkure e çelët, përkulje, shfajësim
🙇🏼	falje, gjest, njeri i përkulur, njeri i përkulur: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, përkulje, shfajësim
🙇🏽	falje, gjest, njeri i përkulur, njeri i përkulur: nuancë lëkure zeshkane, nuancë lëkure zeshkane, përkulje, shfajësim
🙇🏾	falje, gjest, njeri i përkulur, njeri i përkulur: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, përkulje, shfajësim
🙇🏿	falje, gjest, njeri i përkulur, njeri i përkulur: nuancë lëkure e errët, nuancë lëkure e errët, përkulje, shfajësim
🙇🏻‍♂	burrë që përkulet për falje, burrë që përkulet për falje: nuancë lëkure e çelët, falje, gjest, ndjesë, nuancë lëkure e çelët
🙇🏼‍♂	burrë që përkulet për falje, burrë që përkulet për falje: nuancë lëkure gjysmë e çelët, falje, gjest, ndjesë, nuancë lëkure gjysmë e çelët
🙇🏽‍♂	burrë që përkulet për falje, burrë që përkulet për falje: nuancë lëkure zeshkane, falje, gjest, ndjesë, nuancë lëkure zeshkane
🙇🏾‍♂	burrë që përkulet për falje, burrë që përkulet për falje: nuancë lëkure gjysmë e errët, falje, gjest, ndjesë, nuancë lëkure gjysmë e errët
🙇🏿‍♂	burrë që përkulet për falje, burrë që përkulet për falje: nuancë lëkure e errët, falje, gjest, ndjesë, nuancë lëkure e errët
🙇🏻‍♀	falje, gjest, grua që përkulet për falje, grua që përkulet për falje: nuancë lëkure e çelët, ndjesë, nuancë lëkure e çelët
🙇🏼‍♀	falje, gjest, grua që përkulet për falje, grua që përkulet për falje: nuancë lëkure gjysmë e çelët, ndjesë, nuancë lëkure gjysmë e çelët
🙇🏽‍♀	falje, gjest, grua që përkulet për falje, grua që përkulet për falje: nuancë lëkure zeshkane, ndjesë, nuancë lëkure zeshkane
🙇🏾‍♀	falje, gjest, grua që përkulet për falje, grua që përkulet për falje: nuancë lëkure gjysmë e errët, ndjesë, nuancë lëkure gjysmë e errët
🙇🏿‍♀	falje, gjest, grua që përkulet për falje, grua që përkulet për falje: nuancë lëkure e errët, ndjesë, nuancë lëkure e errët
🤦🏻	fytyrë, fytyrë me pëllëmbë në ballë, fytyrë me pëllëmbë në ballë: nuancë lëkure e çelët, mosbesim, nervozizëm, nuancë lëkure e çelët, pëllëmbë në ballë
🤦🏼	fytyrë, fytyrë me pëllëmbë në ballë, fytyrë me pëllëmbë në ballë: nuancë lëkure gjysmë e çelët, mosbesim, nervozizëm, nuancë lëkure gjysmë e çelët, pëllëmbë në ballë
🤦🏽	fytyrë, fytyrë me pëllëmbë në ballë, fytyrë me pëllëmbë në ballë: nuancë lëkure zeshkane, mosbesim, nervozizëm, nuancë lëkure zeshkane, pëllëmbë në ballë
