‾	tapae
🤵🏽	hūtu ōkawa, kiri āhua waenga, tāne, tāne mau hūtu ōkawa, tāne mau hūtu ōkawa: kiri āhua waenga, tāne mārena
🤵🏾	hūtu ōkawa, kiri āhua waenga-parauri, tāne, tāne mau hūtu ōkawa, tāne mau hūtu ōkawa: kiri āhua waenga-parauri, tāne mārena
🤵🏿	hūtu ōkawa, kiri āhua parauri, tāne, tāne mau hūtu ōkawa, tāne mau hūtu ōkawa: kiri āhua parauri, tāne mārena
👰	mārenatanga, wahine mārena, wahine mārena mau ārai, ārai
👰🏻	kiri āhua māmā, mārenatanga, wahine mārena, wahine mārena mau ārai, wahine mārena mau ārai: kiri āhua māmā, ārai
👰🏼	kiri āhua māmā-waenga, mārenatanga, wahine mārena, wahine mārena mau ārai, wahine mārena mau ārai: kiri āhua māmā-waenga, ārai
👰🏽	kiri āhua waenga, mārenatanga, wahine mārena, wahine mārena mau ārai, wahine mārena mau ārai: kiri āhua waenga, ārai
👰🏾	kiri āhua waenga-parauri, mārenatanga, wahine mārena, wahine mārena mau ārai, wahine mārena mau ārai: kiri āhua waenga-parauri, ārai
👰🏿	kiri āhua parauri, mārenatanga, wahine mārena, wahine mārena mau ārai, wahine mārena mau ārai: kiri āhua parauri, ārai
🤰	hapū, wahine, wahine hapū
🤰🏻	hapū, kiri āhua māmā, wahine, wahine hapū: kiri āhua māmā
🤰🏼	hapū, kiri āhua māmā-waenga, wahine, wahine hapū: kiri āhua māmā-waenga
🤰🏽	hapū, kiri āhua waenga, wahine, wahine hapū: kiri āhua waenga
🤰🏾	hapū, kiri āhua waenga-parauri, wahine, wahine hapū: kiri āhua waenga-parauri
🤰🏿	hapū, kiri āhua parauri, wahine, wahine hapū: kiri āhua parauri
🤱	pēpi, whakangote ana, whāngote-ū, ū
🤱🏻	kiri āhua māmā, pēpi, whakangote ana, whāngote-ū, whāngote-ū: kiri āhua māmā, ū
🤱🏼	kiri āhua māmā-waenga, pēpi, whakangote ana, whāngote-ū, whāngote-ū: kiri āhua māmā-waenga, ū
🤱🏽	kiri āhua waenga, pēpi, whakangote ana, whāngote-ū, whāngote-ū: kiri āhua waenga, ū
🤱🏾	kiri āhua waenga-parauri, pēpi, whakangote ana, whāngote-ū, whāngote-ū: kiri āhua waenga-parauri, ū
🤱🏿	kiri āhua parauri, pēpi, whakangote ana, whāngote-ū, whāngote-ū: kiri āhua parauri, ū
👼	anahera, kanohi, kōrero pakiwaitara, moemoeā, pēpi, pīpī anahera
👼🏻	anahera, kanohi, kiri āhua māmā, kōrero pakiwaitara, moemoeā, pēpi, pīpī anahera, pīpī anahera: kiri āhua māmā
👼🏼	anahera, kanohi, kiri āhua māmā-waenga, kōrero pakiwaitara, moemoeā, pēpi, pīpī anahera, pīpī anahera: kiri āhua māmā-waenga
👼🏽	anahera, kanohi, kiri āhua waenga, kōrero pakiwaitara, moemoeā, pēpi, pīpī anahera, pīpī anahera: kiri āhua waenga
👼🏾	anahera, kanohi, kiri āhua waenga-parauri, kōrero pakiwaitara, moemoeā, pēpi, pīpī anahera, pīpī anahera: kiri āhua waenga-parauri
👼🏿	anahera, kanohi, kiri āhua parauri, kōrero pakiwaitara, moemoeā, pēpi, pīpī anahera, pīpī anahera: kiri āhua parauri
🎅	hana, hana koko, kirihimete, koko, matua, whakanuinga
🎅🏻	hana, hana koko: kiri āhua māmā, kiri āhua māmā, kirihimete, koko, matua, whakanuinga
🎅🏼	hana, hana koko: kiri āhua māmā-waenga, kiri āhua māmā-waenga, kirihimete, koko, matua, whakanuinga
🎅🏽	hana, hana koko: kiri āhua waenga, kiri āhua waenga, kirihimete, koko, matua, whakanuinga
🎅🏾	hana, hana koko: kiri āhua waenga-parauri, kiri āhua waenga-parauri, kirihimete, koko, matua, whakanuinga
🎅🏿	hana, hana koko: kiri āhua parauri, kiri āhua parauri, kirihimete, koko, matua, whakanuinga
🤶	kirihimete, koko, kuia, kuia koko, whaea, whakanuinga
🤶🏻	kiri āhua māmā, kirihimete, koko, kuia, kuia koko: kiri āhua māmā, whaea, whakanuinga
🤶🏼	kiri āhua māmā-waenga, kirihimete, koko, kuia, kuia koko: kiri āhua māmā-waenga, whaea, whakanuinga
🤶🏽	kiri āhua waenga, kirihimete, koko, kuia, kuia koko: kiri āhua waenga, whaea, whakanuinga
🤶🏾	kiri āhua waenga-parauri, kirihimete, koko, kuia, kuia koko: kiri āhua waenga-parauri, whaea, whakanuinga
🤶🏿	kiri āhua parauri, kirihimete, koko, kuia, kuia koko: kiri āhua parauri, whaea, whakanuinga
🧙	rūānuku, tohunga mākutu, tāngata matakite, wahine mākutu
🧙🏻	kiri āhua māmā, rūānuku, tohunga mākutu, tāngata matakite, tāngata matakite: kiri āhua māmā, wahine mākutu
🧙🏼	kiri āhua māmā-waenga, rūānuku, tohunga mākutu, tāngata matakite, tāngata matakite: kiri āhua māmā-waenga, wahine mākutu
🧙🏽	kiri āhua waenga, rūānuku, tohunga mākutu, tāngata matakite, tāngata matakite: kiri āhua waenga, wahine mākutu
🧙🏾	kiri āhua waenga-parauri, rūānuku, tohunga mākutu, tāngata matakite, tāngata matakite: kiri āhua waenga-parauri, wahine mākutu
🧙🏿	kiri āhua parauri, rūānuku, tohunga mākutu, tāngata matakite, tāngata matakite: kiri āhua parauri, wahine mākutu
🧙‍♂	rūānuku, tohunga matakite, tohunga mākutu
🧙🏻‍♂	kiri āhua māmā, rūānuku, tohunga matakite, tohunga matakite: kiri āhua māmā, tohunga mākutu
🧙🏼‍♂	kiri āhua māmā-waenga, rūānuku, tohunga matakite, tohunga matakite: kiri āhua māmā-waenga, tohunga mākutu
🧙🏽‍♂	kiri āhua waenga, rūānuku, tohunga matakite, tohunga matakite: kiri āhua waenga, tohunga mākutu
🧙🏾‍♂	kiri āhua waenga-parauri, rūānuku, tohunga matakite, tohunga matakite: kiri āhua waenga-parauri, tohunga mākutu
🧙🏿‍♂	kiri āhua parauri, rūānuku, tohunga matakite, tohunga matakite: kiri āhua parauri, tohunga mākutu
🧙‍♀	wahine matakite, wahine mākutu
🧙🏻‍♀	kiri āhua māmā, wahine matakite, wahine matakite: kiri āhua māmā, wahine mākutu
🧙🏼‍♀	kiri āhua māmā-waenga, wahine matakite, wahine matakite: kiri āhua māmā-waenga, wahine mākutu
🧙🏽‍♀	kiri āhua waenga, wahine matakite, wahine matakite: kiri āhua waenga, wahine mākutu
🧙🏾‍♀	kiri āhua waenga-parauri, wahine matakite, wahine matakite: kiri āhua waenga-parauri, wahine mākutu
🧙🏿‍♀	kiri āhua parauri, wahine matakite, wahine matakite: kiri āhua parauri, wahine mākutu
🧚	Oberon, Puck, Titania, patupaiarehe
🧚🏻	Oberon, Puck, Titania, kiri āhua māmā, patupaiarehe, patupaiarehe: kiri āhua māmā
🧚🏼	Oberon, Puck, Titania, kiri āhua māmā-waenga, patupaiarehe, patupaiarehe: kiri āhua māmā-waenga
🧚🏽	Oberon, Puck, Titania, kiri āhua waenga, patupaiarehe, patupaiarehe: kiri āhua waenga
🧚🏾	Oberon, Puck, Titania, kiri āhua waenga-parauri, patupaiarehe, patupaiarehe: kiri āhua waenga-parauri
🧚🏿	Oberon, Puck, Titania, kiri āhua parauri, patupaiarehe, patupaiarehe: kiri āhua parauri
🧚‍♂	Oberon, Puck, patupaiarehe tāne
🧚🏻‍♂	Oberon, Puck, kiri āhua māmā, patupaiarehe tāne, patupaiarehe tāne: kiri āhua māmā
🧚🏼‍♂	Oberon, Puck, kiri āhua māmā-waenga, patupaiarehe tāne, patupaiarehe tāne: kiri āhua māmā-waenga
🧚🏽‍♂	Oberon, Puck, kiri āhua waenga, patupaiarehe tāne, patupaiarehe tāne: kiri āhua waenga
🧚🏾‍♂	Oberon, Puck, kiri āhua waenga-parauri, patupaiarehe tāne, patupaiarehe tāne: kiri āhua waenga-parauri
🧚🏿‍♂	Oberon, Puck, kiri āhua parauri, patupaiarehe tāne, patupaiarehe tāne: kiri āhua parauri
🧚‍♀	Titania, patupaiarehe wahine
🧚🏻‍♀	Titania, kiri āhua māmā, patupaiarehe wahine, patupaiarehe wahine: kiri āhua māmā
🧚🏼‍♀	Titania, kiri āhua māmā-waenga, patupaiarehe wahine, patupaiarehe wahine: kiri āhua māmā-waenga
🧚🏽‍♀	Titania, kiri āhua waenga, patupaiarehe wahine, patupaiarehe wahine: kiri āhua waenga
🧚🏾‍♀	Titania, kiri āhua waenga-parauri, patupaiarehe wahine, patupaiarehe wahine: kiri āhua waenga-parauri
🧚🏿‍♀	Titania, kiri āhua parauri, patupaiarehe wahine, patupaiarehe wahine: kiri āhua parauri
🧛	Dracula, kaitoto, oramate
🧛🏻	Dracula, kaitoto, kaitoto: kiri āhua māmā, kiri āhua māmā, oramate
🧛🏼	Dracula, kaitoto, kaitoto: kiri āhua māmā-waenga, kiri āhua māmā-waenga, oramate
🧛🏽	Dracula, kaitoto, kaitoto: kiri āhua waenga, kiri āhua waenga, oramate
🧛🏾	Dracula, kaitoto, kaitoto: kiri āhua waenga-parauri, kiri āhua waenga-parauri, oramate
🧛🏿	Dracula, kaitoto, kaitoto: kiri āhua parauri, kiri āhua parauri, oramate
🧛‍♂	Dracula, oramate, tāne kaitoto
🧛🏻‍♂	Dracula, kiri āhua māmā, oramate, tāne kaitoto, tāne kaitoto: kiri āhua māmā
🧛🏼‍♂	Dracula, kiri āhua māmā-waenga, oramate, tāne kaitoto, tāne kaitoto: kiri āhua māmā-waenga
🧛🏽‍♂	Dracula, kiri āhua waenga, oramate, tāne kaitoto, tāne kaitoto: kiri āhua waenga
🧛🏾‍♂	Dracula, kiri āhua waenga-parauri, oramate, tāne kaitoto, tāne kaitoto: kiri āhua waenga-parauri
🧛🏿‍♂	Dracula, kiri āhua parauri, oramate, tāne kaitoto, tāne kaitoto: kiri āhua parauri
🧛‍♀	oramate, wahine kaitoto
🧛🏻‍♀	kiri āhua māmā, oramate, wahine kaitoto, wahine kaitoto: kiri āhua māmā
🧛🏼‍♀	kiri āhua māmā-waenga, oramate, wahine kaitoto, wahine kaitoto: kiri āhua māmā-waenga
🧛🏽‍♀	kiri āhua waenga, oramate, wahine kaitoto, wahine kaitoto: kiri āhua waenga
🧛🏾‍♀	kiri āhua waenga-parauri, oramate, wahine kaitoto, wahine kaitoto: kiri āhua waenga-parauri
🧛🏿‍♀	kiri āhua parauri, oramate, wahine kaitoto, wahine kaitoto: kiri āhua parauri
🧜	tangata-ika, tāne-ika, wahine-ika
🧜🏻	kiri āhua māmā, tangata-ika, tangata-ika: kiri āhua māmā, tāne-ika, wahine-ika
🧜🏼	kiri āhua māmā-waenga, tangata-ika, tangata-ika: kiri āhua māmā-waenga, tāne-ika, wahine-ika
🧜🏽	kiri āhua waenga, tangata-ika, tangata-ika: kiri āhua waenga, tāne-ika, wahine-ika
🧜🏾	kiri āhua waenga-parauri, tangata-ika, tangata-ika: kiri āhua waenga-parauri, tāne-ika, wahine-ika
🧜🏿	kiri āhua parauri, tangata-ika, tangata-ika: kiri āhua parauri, tāne-ika, wahine-ika
🧜‍♂	Tiritono, tāne-ika
🧜🏻‍♂	Tiritono, kiri āhua māmā, tāne-ika, tāne-ika: kiri āhua māmā
🧜🏼‍♂	Tiritono, kiri āhua māmā-waenga, tāne-ika, tāne-ika: kiri āhua māmā-waenga
🧜🏽‍♂	Tiritono, kiri āhua waenga, tāne-ika, tāne-ika: kiri āhua waenga
🧜🏾‍♂	Tiritono, kiri āhua waenga-parauri, tāne-ika, tāne-ika: kiri āhua waenga-parauri
🧜🏿‍♂	Tiritono, kiri āhua parauri, tāne-ika, tāne-ika: kiri āhua parauri
🧜‍♀	hine-ika, wahine-ika
🧜🏻‍♀	hine-ika, hine-ika: kiri āhua māmā, kiri āhua māmā, wahine-ika
🧜🏼‍♀	hine-ika, hine-ika: kiri āhua māmā-waenga, kiri āhua māmā-waenga, wahine-ika
🧜🏽‍♀	hine-ika, hine-ika: kiri āhua waenga, kiri āhua waenga, wahine-ika
🧜🏾‍♀	hine-ika, hine-ika: kiri āhua waenga-parauri, kiri āhua waenga-parauri, wahine-ika
🧜🏿‍♀	hine-ika, hine-ika: kiri āhua parauri, kiri āhua parauri, wahine-ika
🧝	erepe, mākutu
🧝🏻	erepe, erepe: kiri āhua māmā, kiri āhua māmā, mākutu
🧝🏼	erepe, erepe: kiri āhua māmā-waenga, kiri āhua māmā-waenga, mākutu
🧝🏽	erepe, erepe: kiri āhua waenga, kiri āhua waenga, mākutu
🧝🏾	erepe, erepe: kiri āhua waenga-parauri, kiri āhua waenga-parauri, mākutu
🧝🏿	erepe, erepe: kiri āhua parauri, kiri āhua parauri, mākutu
🧝‍♂	erepe tāne, mākutu
🧝🏻‍♂	erepe tāne, erepe tāne: kiri āhua māmā, kiri āhua māmā, mākutu
🧝🏼‍♂	erepe tāne, erepe tāne: kiri āhua māmā-waenga, kiri āhua māmā-waenga, mākutu
🧝🏽‍♂	erepe tāne, erepe tāne: kiri āhua waenga, kiri āhua waenga, mākutu
🧝🏾‍♂	erepe tāne, erepe tāne: kiri āhua waenga-parauri, kiri āhua waenga-parauri, mākutu
🧝🏿‍♂	erepe tāne, erepe tāne: kiri āhua parauri, kiri āhua parauri, mākutu
🧝‍♀	erepe wahine, mākutu
🧝🏻‍♀	erepe wahine, erepe wahine: kiri āhua māmā, kiri āhua māmā, mākutu
🧝🏼‍♀	erepe wahine, erepe wahine: kiri āhua māmā-waenga, kiri āhua māmā-waenga, mākutu
🧝🏽‍♀	erepe wahine, erepe wahine: kiri āhua waenga, kiri āhua waenga, mākutu
🧝🏾‍♀	erepe wahine, erepe wahine: kiri āhua waenga-parauri, kiri āhua waenga-parauri, mākutu
🧝🏿‍♀	erepe wahine, erepe wahine: kiri āhua parauri, kiri āhua parauri, mākutu
🧞	djinn, tūrehu
🧞‍♂	djinn, tāne tūrehu
🧞‍♀	djinn, wahine tūrehu
🧟	oramate, tūpāpaku, tūpāpaku hīkoi
🧟‍♂	oramate, tāne tūpāpaku, tūpāpaku hīkoi
🧟‍♀	oramate, tūpāpaku hīkoi, wahine tūpāpaku
💆	harono, kanohi, mirimiri, tangata whiwhi mirimiri
💆🏻	harono, kanohi, kiri āhua māmā, mirimiri, tangata whiwhi mirimiri, tangata whiwhi mirimiri: kiri āhua māmā
💆🏼	harono, kanohi, kiri āhua māmā-waenga, mirimiri, tangata whiwhi mirimiri, tangata whiwhi mirimiri: kiri āhua māmā-waenga
💆🏽	harono, kanohi, kiri āhua waenga, mirimiri, tangata whiwhi mirimiri, tangata whiwhi mirimiri: kiri āhua waenga
💆🏾	harono, kanohi, kiri āhua waenga-parauri, mirimiri, tangata whiwhi mirimiri, tangata whiwhi mirimiri: kiri āhua waenga-parauri
💆🏿	harono, kanohi, kiri āhua parauri, mirimiri, tangata whiwhi mirimiri, tangata whiwhi mirimiri: kiri āhua parauri
💆‍♂	kanohi, mirimiri, tāne, tāne whiwhi mirimiri
💆🏻‍♂	kanohi, kiri āhua māmā, mirimiri, tāne, tāne whiwhi mirimiri, tāne whiwhi mirimiri: kiri āhua māmā
💆🏼‍♂	kanohi, kiri āhua māmā-waenga, mirimiri, tāne, tāne whiwhi mirimiri, tāne whiwhi mirimiri: kiri āhua māmā-waenga
💆🏽‍♂	kanohi, kiri āhua waenga, mirimiri, tāne, tāne whiwhi mirimiri, tāne whiwhi mirimiri: kiri āhua waenga
💆🏾‍♂	kanohi, kiri āhua waenga-parauri, mirimiri, tāne, tāne whiwhi mirimiri, tāne whiwhi mirimiri: kiri āhua waenga-parauri
💆🏿‍♂	kanohi, kiri āhua parauri, mirimiri, tāne, tāne whiwhi mirimiri, tāne whiwhi mirimiri: kiri āhua parauri
💆‍♀	kanohi, mirimiri, wahine, wahine whiwhi mirimiri
💆🏻‍♀	kanohi, kiri āhua māmā, mirimiri, wahine, wahine whiwhi mirimiri, wahine whiwhi mirimiri: kiri āhua māmā
💆🏼‍♀	kanohi, kiri āhua māmā-waenga, mirimiri, wahine, wahine whiwhi mirimiri, wahine whiwhi mirimiri: kiri āhua māmā-waenga
💆🏽‍♀	kanohi, kiri āhua waenga, mirimiri, wahine, wahine whiwhi mirimiri, wahine whiwhi mirimiri: kiri āhua waenga
💆🏾‍♀	kanohi, kiri āhua waenga-parauri, mirimiri, wahine, wahine whiwhi mirimiri, wahine whiwhi mirimiri: kiri āhua waenga-parauri
💆🏿‍♀	kanohi, kiri āhua parauri, mirimiri, wahine, wahine whiwhi mirimiri, wahine whiwhi mirimiri: kiri āhua parauri
💇	harono, kaikuti makawe, kutinga makawe, tangata whiwhi kutinga makawe, ātaahua
💇🏻	harono, kaikuti makawe, kiri āhua māmā, kutinga makawe, tangata whiwhi kutinga makawe, tangata whiwhi kutinga makawe: kiri āhua māmā, ātaahua
💇🏼	harono, kaikuti makawe, kiri āhua māmā-waenga, kutinga makawe, tangata whiwhi kutinga makawe, tangata whiwhi kutinga makawe: kiri āhua māmā-waenga, ātaahua
💇🏽	harono, kaikuti makawe, kiri āhua waenga, kutinga makawe, tangata whiwhi kutinga makawe, tangata whiwhi kutinga makawe: kiri āhua waenga, ātaahua
💇🏾	harono, kaikuti makawe, kiri āhua waenga-parauri, kutinga makawe, tangata whiwhi kutinga makawe, tangata whiwhi kutinga makawe: kiri āhua waenga-parauri, ātaahua
💇🏿	harono, kaikuti makawe, kiri āhua parauri, kutinga makawe, tangata whiwhi kutinga makawe, tangata whiwhi kutinga makawe: kiri āhua parauri, ātaahua
💇‍♂	kutinga makawe, tāne, tāne whiwhi kutinga makawe
💇🏻‍♂	kiri āhua māmā, kutinga makawe, tāne, tāne whiwhi kutinga makawe, tāne whiwhi kutinga makawe: kiri āhua māmā
💇🏼‍♂	kiri āhua māmā-waenga, kutinga makawe, tāne, tāne whiwhi kutinga makawe, tāne whiwhi kutinga makawe: kiri āhua māmā-waenga
💇🏽‍♂	kiri āhua waenga, kutinga makawe, tāne, tāne whiwhi kutinga makawe, tāne whiwhi kutinga makawe: kiri āhua waenga
💇🏾‍♂	kiri āhua waenga-parauri, kutinga makawe, tāne, tāne whiwhi kutinga makawe, tāne whiwhi kutinga makawe: kiri āhua waenga-parauri
💇🏿‍♂	kiri āhua parauri, kutinga makawe, tāne, tāne whiwhi kutinga makawe, tāne whiwhi kutinga makawe: kiri āhua parauri
💇‍♀	kutinga makawe, wahine, wahine whiwhi kutinga makawe
💇🏻‍♀	kiri āhua māmā, kutinga makawe, wahine, wahine whiwhi kutinga makawe, wahine whiwhi kutinga makawe: kiri āhua māmā
💇🏼‍♀	kiri āhua māmā-waenga, kutinga makawe, wahine, wahine whiwhi kutinga makawe, wahine whiwhi kutinga makawe: kiri āhua māmā-waenga
💇🏽‍♀	kiri āhua waenga, kutinga makawe, wahine, wahine whiwhi kutinga makawe, wahine whiwhi kutinga makawe: kiri āhua waenga
💇🏾‍♀	kiri āhua waenga-parauri, kutinga makawe, wahine, wahine whiwhi kutinga makawe, wahine whiwhi kutinga makawe: kiri āhua waenga-parauri
💇🏿‍♀	kiri āhua parauri, kutinga makawe, wahine, wahine whiwhi kutinga makawe, wahine whiwhi kutinga makawe: kiri āhua parauri
🚶	hīkoi, hīkoi ana, hīkoi roa, tangata hīkoi
🚶🏻	hīkoi, hīkoi ana, hīkoi roa, kiri āhua māmā, tangata hīkoi, tangata hīkoi: kiri āhua māmā
🚶🏼	hīkoi, hīkoi ana, hīkoi roa, kiri āhua māmā-waenga, tangata hīkoi, tangata hīkoi: kiri āhua māmā-waenga
🚶🏽	hīkoi, hīkoi ana, hīkoi roa, kiri āhua waenga, tangata hīkoi, tangata hīkoi: kiri āhua waenga
🚶🏾	hīkoi, hīkoi ana, hīkoi roa, kiri āhua waenga-parauri, tangata hīkoi, tangata hīkoi: kiri āhua waenga-parauri
🚶🏿	hīkoi, hīkoi ana, hīkoi roa, kiri āhua parauri, tangata hīkoi, tangata hīkoi: kiri āhua parauri
🚶‍♂	hīkoi, hīkoi roa, tāne, tāne hīkoi
🚶🏻‍♂	hīkoi, hīkoi roa, kiri āhua māmā, tāne, tāne hīkoi: kiri āhua māmā
🚶🏼‍♂	hīkoi, hīkoi roa, kiri āhua māmā-waenga, tāne, tāne hīkoi: kiri āhua māmā-waenga
🚶🏽‍♂	hīkoi, hīkoi roa, kiri āhua waenga, tāne, tāne hīkoi: kiri āhua waenga
🚶🏾‍♂	hīkoi, hīkoi roa, kiri āhua waenga-parauri, tāne, tāne hīkoi: kiri āhua waenga-parauri
🚶🏿‍♂	hīkoi, hīkoi roa, kiri āhua parauri, tāne, tāne hīkoi: kiri āhua parauri
🚶‍♀	hīkoi, hīkoi roa, wahine, wahine hīkoi
🚶🏻‍♀	hīkoi, hīkoi roa, kiri āhua māmā, wahine, wahine hīkoi: kiri āhua māmā
🚶🏼‍♀	hīkoi, hīkoi roa, kiri āhua māmā-waenga, wahine, wahine hīkoi: kiri āhua māmā-waenga
🚶🏽‍♀	hīkoi, hīkoi roa, kiri āhua waenga, wahine, wahine hīkoi: kiri āhua waenga
🚶🏾‍♀	hīkoi, hīkoi roa, kiri āhua waenga-parauri, wahine, wahine hīkoi: kiri āhua waenga-parauri
🚶🏿‍♀	hīkoi, hīkoi roa, kiri āhua parauri, wahine, wahine hīkoi: kiri āhua parauri
🏃	maratono, oma ana, tangata oma
🏃🏻	kiri āhua māmā, maratono, oma ana, tangata oma, tangata oma: kiri āhua māmā
🏃🏼	kiri āhua māmā-waenga, maratono, oma ana, tangata oma, tangata oma: kiri āhua māmā-waenga
🏃🏽	kiri āhua waenga, maratono, oma ana, tangata oma, tangata oma: kiri āhua waenga
🏃🏾	kiri āhua waenga-parauri, maratono, oma ana, tangata oma, tangata oma: kiri āhua waenga-parauri
🏃🏿	kiri āhua parauri, maratono, oma ana, tangata oma, tangata oma: kiri āhua parauri
🏃‍♂	maratono, oma ana, tauomaoma, tāne, tāne oma
🏃🏻‍♂	kiri āhua māmā, maratono, oma ana, tauomaoma, tāne, tāne oma, tāne oma: kiri āhua māmā
🏃🏼‍♂	kiri āhua māmā-waenga, maratono, oma ana, tauomaoma, tāne, tāne oma, tāne oma: kiri āhua māmā-waenga
🏃🏽‍♂	kiri āhua waenga, maratono, oma ana, tauomaoma, tāne, tāne oma, tāne oma: kiri āhua waenga
🏃🏾‍♂	kiri āhua waenga-parauri, maratono, oma ana, tauomaoma, tāne, tāne oma, tāne oma: kiri āhua waenga-parauri
🏃🏿‍♂	kiri āhua parauri, maratono, oma ana, tauomaoma, tāne, tāne oma, tāne oma: kiri āhua parauri
🏃‍♀	maratono, oma ana, tauomaoma, wahine, wahine oma
🏃🏻‍♀	kiri āhua māmā, maratono, oma ana, tauomaoma, wahine, wahine oma, wahine oma: kiri āhua māmā
🏃🏼‍♀	kiri āhua māmā-waenga, maratono, oma ana, tauomaoma, wahine, wahine oma, wahine oma: kiri āhua māmā-waenga
🏃🏽‍♀	kiri āhua waenga, maratono, oma ana, tauomaoma, wahine, wahine oma, wahine oma: kiri āhua waenga
🏃🏾‍♀	kiri āhua waenga-parauri, maratono, oma ana, tauomaoma, wahine, wahine oma, wahine oma: kiri āhua waenga-parauri
🏃🏿‍♀	kiri āhua parauri, maratono, oma ana, tauomaoma, wahine, wahine oma, wahine oma: kiri āhua parauri
💃	kanikani, wahine, wahine kanikani
💃🏻	kanikani, kiri āhua māmā, wahine, wahine kanikani: kiri āhua māmā
💃🏼	kanikani, kiri āhua māmā-waenga, wahine, wahine kanikani: kiri āhua māmā-waenga
💃🏽	kanikani, kiri āhua waenga, wahine, wahine kanikani: kiri āhua waenga
💃🏾	kanikani, kiri āhua waenga-parauri, wahine, wahine kanikani: kiri āhua waenga-parauri
💃🏿	kanikani, kiri āhua parauri, wahine, wahine kanikani: kiri āhua parauri
🕺	kanikani, tāne, tāne kanikani
🕺🏻	kanikani, kiri āhua māmā, tāne, tāne kanikani: kiri āhua māmā
🕺🏼	kanikani, kiri āhua māmā-waenga, tāne, tāne kanikani: kiri āhua māmā-waenga
🕺🏽	kanikani, kiri āhua waenga, tāne, tāne kanikani: kiri āhua waenga
🕺🏾	kanikani, kiri āhua waenga-parauri, tāne, tāne kanikani: kiri āhua waenga-parauri
🕺🏿	kanikani, kiri āhua parauri, tāne, tāne kanikani: kiri āhua parauri
🕴️	hūtu, pakihi, tāne, tāne mau hūtu e rewa ana
🕴🏻	hūtu, kiri āhua māmā, pakihi, tāne, tāne mau hūtu e rewa ana, tāne mau hūtu e rewa ana: kiri āhua māmā
🕴🏼	hūtu, kiri āhua māmā-waenga, pakihi, tāne, tāne mau hūtu e rewa ana, tāne mau hūtu e rewa ana: kiri āhua māmā-waenga
🕴🏽	hūtu, kiri āhua waenga, pakihi, tāne, tāne mau hūtu e rewa ana, tāne mau hūtu e rewa ana: kiri āhua waenga
🕴🏾	hūtu, kiri āhua waenga-parauri, pakihi, tāne, tāne mau hūtu e rewa ana, tāne mau hūtu e rewa ana: kiri āhua waenga-parauri
🕴🏿	hūtu, kiri āhua parauri, pakihi, tāne, tāne mau hūtu e rewa ana, tāne mau hūtu e rewa ana: kiri āhua parauri
👯	kaikanikani, taringa rāpeti, tāngata taringa rāpeti whakangahau, whakangahau
👯‍♂	kaikanikani, taringa rāpeti, tāne, tāne taringa rāpeti whakangahau, whakangahau
👯‍♀	kaikanikani, taringa rāpeti, whakangahau, wāhine, wāhine taringa rāpeti whakangahau
🧖	hāuna, taiwhanga mamaoa, tangata rō taiwhanga mamaoa
🧖🏻	hāuna, kiri āhua māmā, taiwhanga mamaoa, tangata rō taiwhanga mamaoa, tangata rō taiwhanga mamaoa: kiri āhua māmā
🧖🏼	hāuna, kiri āhua māmā-waenga, taiwhanga mamaoa, tangata rō taiwhanga mamaoa, tangata rō taiwhanga mamaoa: kiri āhua māmā-waenga
🧖🏽	hāuna, kiri āhua waenga, taiwhanga mamaoa, tangata rō taiwhanga mamaoa, tangata rō taiwhanga mamaoa: kiri āhua waenga
🧖🏾	hāuna, kiri āhua waenga-parauri, taiwhanga mamaoa, tangata rō taiwhanga mamaoa, tangata rō taiwhanga mamaoa: kiri āhua waenga-parauri
🧖🏿	hāuna, kiri āhua parauri, taiwhanga mamaoa, tangata rō taiwhanga mamaoa, tangata rō taiwhanga mamaoa: kiri āhua parauri
🧖‍♂	hāuna, taiwhanga mamaoa, tāne rō taiwhanga mamaoa
🧖🏻‍♂	hāuna, kiri āhua māmā, taiwhanga mamaoa, tāne rō taiwhanga mamaoa, tāne rō taiwhanga mamaoa: kiri āhua māmā
🧖🏼‍♂	hāuna, kiri āhua māmā-waenga, taiwhanga mamaoa, tāne rō taiwhanga mamaoa, tāne rō taiwhanga mamaoa: kiri āhua māmā-waenga
🧖🏽‍♂	hāuna, kiri āhua waenga, taiwhanga mamaoa, tāne rō taiwhanga mamaoa, tāne rō taiwhanga mamaoa: kiri āhua waenga
🧖🏾‍♂	hāuna, kiri āhua waenga-parauri, taiwhanga mamaoa, tāne rō taiwhanga mamaoa, tāne rō taiwhanga mamaoa: kiri āhua waenga-parauri
🧖🏿‍♂	hāuna, kiri āhua parauri, taiwhanga mamaoa, tāne rō taiwhanga mamaoa, tāne rō taiwhanga mamaoa: kiri āhua parauri
🧖‍♀	hāuna, taiwhanga mamaoa, wahine rō taiwhanga mamaoa
🧖🏻‍♀	hāuna, kiri āhua māmā, taiwhanga mamaoa, wahine rō taiwhanga mamaoa, wahine rō taiwhanga mamaoa: kiri āhua māmā
🧖🏼‍♀	hāuna, kiri āhua māmā-waenga, taiwhanga mamaoa, wahine rō taiwhanga mamaoa, wahine rō taiwhanga mamaoa: kiri āhua māmā-waenga
🧖🏽‍♀	hāuna, kiri āhua waenga, taiwhanga mamaoa, wahine rō taiwhanga mamaoa, wahine rō taiwhanga mamaoa: kiri āhua waenga
