‾	apɔju
👩🏿‍🎤	adánirárayá, adúláwɔ̀, akɔrin, obìnrin olórin, obìnrin olórin: adúláwɔ̀, obìrin, àpáta, ìràwɔ̀, ɔshèré
👨‍🎨	páalɛ́ttì, òshèré, ɔkùnrin, ɔkùnrin òshèré
👨🏻‍🎨	amɔ́lára, páalɛ́ttì, òshèré, ɔkùnrin, ɔkùnrin òshèré: amɔ́lára
👨🏼‍🎨	amɔ́lára díɛ̀, páalɛ́ttì, òshèré, ɔkùnrin, ɔkùnrin òshèré: amɔ́lára díɛ̀
👨🏽‍🎨	amɔ́láwɔ̀ díɛ̀, páalɛ́ttì, òshèré, ɔkùnrin, ɔkùnrin òshèré: amɔ́láwɔ̀ díɛ̀
👨🏾‍🎨	adúláwɔ̀ díɛ̀, páalɛ́ttì, òshèré, ɔkùnrin, ɔkùnrin òshèré: adúláwɔ̀ díɛ̀
👨🏿‍🎨	adúláwɔ̀, páalɛ́ttì, òshèré, ɔkùnrin, ɔkùnrin òshèré: adúláwɔ̀
👩‍🎨	obìrin, obìrin òshèré, òshèré pálɛ́ttì
👩🏻‍🎨	amɔ́lára, obìrin, obìrin òshèré, obìrin òshèré: amɔ́lára, òshèré pálɛ́ttì
👩🏼‍🎨	amɔ́lára díɛ̀, obìrin, obìrin òshèré, obìrin òshèré: amɔ́lára díɛ̀, òshèré pálɛ́ttì
👩🏽‍🎨	amɔ́láwɔ̀ díɛ̀, obìrin, obìrin òshèré, obìrin òshèré: amɔ́láwɔ̀ díɛ̀, òshèré pálɛ́ttì
👩🏾‍🎨	adúláwɔ̀ díɛ̀, obìrin, obìrin òshèré, obìrin òshèré: adúláwɔ̀ díɛ̀, òshèré pálɛ́ttì
👩🏿‍🎨	adúláwɔ̀, obìrin, obìrin òshèré, obìrin òshèré: adúláwɔ̀, òshèré pálɛ́ttì
👨‍✈	awa ɔks bálú, bàlú, ɔkùnrin, ɔkùnrin awa ɔkɔ́ bàlú
👨🏻‍✈	amɔ́lára, awa ɔks bálú, bàlú, ɔkùnrin, ɔkùnrin awa ɔkɔ́ bàlú, ɔkùnrin awa ɔkɔ́ bàlú: amɔ́lára
👨🏼‍✈	amɔ́lára díɛ̀, awa ɔks bálú, bàlú, ɔkùnrin, ɔkùnrin awa ɔkɔ́ bàlú, ɔkùnrin awa ɔkɔ́ bàlú: amɔ́lára díɛ̀
👨🏽‍✈	amɔ́láwɔ̀ díɛ̀, awa ɔks bálú, bàlú, ɔkùnrin, ɔkùnrin awa ɔkɔ́ bàlú, ɔkùnrin awa ɔkɔ́ bàlú: amɔ́láwɔ̀ díɛ̀
👨🏾‍✈	adúláwɔ̀ díɛ̀, awa ɔks bálú, bàlú, ɔkùnrin, ɔkùnrin awa ɔkɔ́ bàlú, ɔkùnrin awa ɔkɔ́ bàlú: adúláwɔ̀ díɛ̀
👨🏿‍✈	adúláwɔ̀, awa ɔks bálú, bàlú, ɔkùnrin, ɔkùnrin awa ɔkɔ́ bàlú, ɔkùnrin awa ɔkɔ́ bàlú: adúláwɔ̀
👩‍✈	awa ɔkɔ̀ bálú, bàlú, obìrin, obìrin awa ɔkɔ́ bàlú
👩🏻‍✈	amɔ́lára, awa ɔkɔ̀ bálú, bàlú, obìrin, obìrin awa ɔkɔ́ bàlú, obìrin awa ɔkɔ́ bàlú: amɔ́lára
👩🏼‍✈	amɔ́lára díɛ̀, awa ɔkɔ̀ bálú, bàlú, obìrin, obìrin awa ɔkɔ́ bàlú, obìrin awa ɔkɔ́ bàlú: amɔ́lára díɛ̀
👩🏽‍✈	amɔ́láwɔ̀ díɛ̀, awa ɔkɔ̀ bálú, bàlú, obìrin, obìrin awa ɔkɔ́ bàlú, obìrin awa ɔkɔ́ bàlú: amɔ́láwɔ̀ díɛ̀
👩🏾‍✈	adúláwɔ̀ díɛ̀, awa ɔkɔ̀ bálú, bàlú, obìrin, obìrin awa ɔkɔ́ bàlú, obìrin awa ɔkɔ́ bàlú: adúláwɔ̀ díɛ̀
👩🏿‍✈	adúláwɔ̀, awa ɔkɔ̀ bálú, bàlú, obìrin, obìrin awa ɔkɔ́ bàlú, obìrin awa ɔkɔ́ bàlú: adúláwɔ̀
👨‍🚀	olùwádìí inú òshùpá, rɔ́kɛ̀tì, òkùnrin, ɔkùnrin olùwádìí inú òshùpá ɔkùnrin
👨🏻‍🚀	amɔ́lára, olùwádìí inú òshùpá, rɔ́kɛ̀tì, òkùnrin, ɔkùnrin olùwádìí inú òshùpá ɔkùnrin, ɔkùnrin olùwádìí inú òshùpá ɔkùnrin: amɔ́lára
👨🏼‍🚀	amɔ́lára díɛ̀, olùwádìí inú òshùpá, rɔ́kɛ̀tì, òkùnrin, ɔkùnrin olùwádìí inú òshùpá ɔkùnrin, ɔkùnrin olùwádìí inú òshùpá ɔkùnrin: amɔ́lára díɛ̀
👨🏽‍🚀	amɔ́láwɔ̀ díɛ̀, olùwádìí inú òshùpá, rɔ́kɛ̀tì, òkùnrin, ɔkùnrin olùwádìí inú òshùpá ɔkùnrin, ɔkùnrin olùwádìí inú òshùpá ɔkùnrin: amɔ́láwɔ̀ díɛ̀
👨🏾‍🚀	adúláwɔ̀ díɛ̀, olùwádìí inú òshùpá, rɔ́kɛ̀tì, òkùnrin, ɔkùnrin olùwádìí inú òshùpá ɔkùnrin, ɔkùnrin olùwádìí inú òshùpá ɔkùnrin: adúláwɔ̀ díɛ̀
👨🏿‍🚀	adúláwɔ̀, olùwádìí inú òshùpá, rɔ́kɛ̀tì, òkùnrin, ɔkùnrin olùwádìí inú òshùpá ɔkùnrin, ɔkùnrin olùwádìí inú òshùpá ɔkùnrin: adúláwɔ̀
👩‍🚀	obìrin, obìrinolùwádìí inú òshùpá, olùwádìí inú òshùpá, rɔ́kɛ̀tì
👩🏻‍🚀	amɔ́lára, obìrin, obìrinolùwádìí inú òshùpá, obìrinolùwádìí inú òshùpá: amɔ́lára, olùwádìí inú òshùpá, rɔ́kɛ̀tì
👩🏼‍🚀	amɔ́lára díɛ̀, obìrin, obìrinolùwádìí inú òshùpá, obìrinolùwádìí inú òshùpá: amɔ́lára díɛ̀, olùwádìí inú òshùpá, rɔ́kɛ̀tì
👩🏽‍🚀	amɔ́láwɔ̀ díɛ̀, obìrin, obìrinolùwádìí inú òshùpá, obìrinolùwádìí inú òshùpá: amɔ́láwɔ̀ díɛ̀, olùwádìí inú òshùpá, rɔ́kɛ̀tì
👩🏾‍🚀	adúláwɔ̀ díɛ̀, obìrin, obìrinolùwádìí inú òshùpá, obìrinolùwádìí inú òshùpá: adúláwɔ̀ díɛ̀, olùwádìí inú òshùpá, rɔ́kɛ̀tì
👩🏿‍🚀	adúláwɔ̀, obìrin, obìrinolùwádìí inú òshùpá, obìrinolùwádìí inú òshùpá: adúláwɔ̀, olùwádìí inú òshùpá, rɔ́kɛ̀tì
👨‍🚒	panɔ́panɔ́, ɔkùnrin, ɔkùnrin panapanɔ́, ɔkɔ̀ panapanɔ́
👨🏻‍🚒	amɔ́lára, panɔ́panɔ́, ɔkùnrin, ɔkùnrin panapanɔ́, ɔkùnrin panapanɔ́: amɔ́lára, ɔkɔ̀ panapanɔ́
👨🏼‍🚒	amɔ́lára díɛ̀, panɔ́panɔ́, ɔkùnrin, ɔkùnrin panapanɔ́, ɔkùnrin panapanɔ́: amɔ́lára díɛ̀, ɔkɔ̀ panapanɔ́
👨🏽‍🚒	amɔ́láwɔ̀ díɛ̀, panɔ́panɔ́, ɔkùnrin, ɔkùnrin panapanɔ́, ɔkùnrin panapanɔ́: amɔ́láwɔ̀ díɛ̀, ɔkɔ̀ panapanɔ́
👨🏾‍🚒	adúláwɔ̀ díɛ̀, panɔ́panɔ́, ɔkùnrin, ɔkùnrin panapanɔ́, ɔkùnrin panapanɔ́: adúláwɔ̀ díɛ̀, ɔkɔ̀ panapanɔ́
👨🏿‍🚒	adúláwɔ̀, panɔ́panɔ́, ɔkùnrin, ɔkùnrin panapanɔ́, ɔkùnrin panapanɔ́: adúláwɔ̀, ɔkɔ̀ panapanɔ́
👩‍🚒	obìrin, obìrin panapanɔ́, panɔ́panɔ́, ɔkɔ̀ panɔ́pnɔ́
👩🏻‍🚒	amɔ́lára, obìrin, obìrin panapanɔ́, obìrin panapanɔ́: amɔ́lára, panɔ́panɔ́, ɔkɔ̀ panɔ́pnɔ́
👩🏼‍🚒	amɔ́lára díɛ̀, obìrin, obìrin panapanɔ́, obìrin panapanɔ́: amɔ́lára díɛ̀, panɔ́panɔ́, ɔkɔ̀ panɔ́pnɔ́
👩🏽‍🚒	amɔ́láwɔ̀ díɛ̀, obìrin, obìrin panapanɔ́, obìrin panapanɔ́: amɔ́láwɔ̀ díɛ̀, panɔ́panɔ́, ɔkɔ̀ panɔ́pnɔ́
👩🏾‍🚒	adúláwɔ̀ díɛ̀, obìrin, obìrin panapanɔ́, obìrin panapanɔ́: adúláwɔ̀ díɛ̀, panɔ́panɔ́, ɔkɔ̀ panɔ́pnɔ́
👩🏿‍🚒	adúláwɔ̀, obìrin, obìrin panapanɔ́, obìrin panapanɔ́: adúláwɔ̀, panɔ́panɔ́, ɔkɔ̀ panɔ́pnɔ́
👮	òshìshɛ́, Ɔlɔpa, ɔlɔ́pàá
👮🏻	amɔ́lára, òshìshɛ́, Ɔlɔpa, Ɔlɔpa: amɔ́lára, ɔlɔ́pàá
👮🏼	amɔ́lára díɛ̀, òshìshɛ́, Ɔlɔpa, Ɔlɔpa: amɔ́lára díɛ̀, ɔlɔ́pàá
👮🏽	amɔ́láwɔ̀ díɛ̀, òshìshɛ́, Ɔlɔpa, Ɔlɔpa: amɔ́láwɔ̀ díɛ̀, ɔlɔ́pàá
👮🏾	adúláwɔ̀ díɛ̀, òshìshɛ́, Ɔlɔpa, Ɔlɔpa: adúláwɔ̀ díɛ̀, ɔlɔ́pàá
👮🏿	adúláwɔ̀, òshìshɛ́, Ɔlɔpa, Ɔlɔpa: adúláwɔ̀, ɔlɔ́pàá
👮‍♂	òshìshɛ́, ɔkùnrin, ɔkùnrin ɔlɔpa, ɔlɔ́pàá
👮🏻‍♂	amɔ́lára, òshìshɛ́, ɔkùnrin, ɔkùnrin ɔlɔpa, ɔkùnrin ɔlɔpa: amɔ́lára, ɔlɔ́pàá
👮🏼‍♂	amɔ́lára díɛ̀, òshìshɛ́, ɔkùnrin, ɔkùnrin ɔlɔpa, ɔkùnrin ɔlɔpa: amɔ́lára díɛ̀, ɔlɔ́pàá
👮🏽‍♂	amɔ́láwɔ̀ díɛ̀, òshìshɛ́, ɔkùnrin, ɔkùnrin ɔlɔpa, ɔkùnrin ɔlɔpa: amɔ́láwɔ̀ díɛ̀, ɔlɔ́pàá
👮🏾‍♂	adúláwɔ̀ díɛ̀, òshìshɛ́, ɔkùnrin, ɔkùnrin ɔlɔpa, ɔkùnrin ɔlɔpa: adúláwɔ̀ díɛ̀, ɔlɔ́pàá
👮🏿‍♂	adúláwɔ̀, òshìshɛ́, ɔkùnrin, ɔkùnrin ɔlɔpa, ɔkùnrin ɔlɔpa: adúláwɔ̀, ɔlɔ́pàá
👮‍♀	obìnrin, obìnrin ɔlɔpa, òshìshɛ́, ɔlɔ́pàá
👮🏻‍♀	amɔ́lára, obìnrin, obìnrin ɔlɔpa, obìnrin ɔlɔpa: amɔ́lára, òshìshɛ́, ɔlɔ́pàá
👮🏼‍♀	amɔ́lára díɛ̀, obìnrin, obìnrin ɔlɔpa, obìnrin ɔlɔpa: amɔ́lára díɛ̀, òshìshɛ́, ɔlɔ́pàá
👮🏽‍♀	amɔ́láwɔ̀ díɛ̀, obìnrin, obìnrin ɔlɔpa, obìnrin ɔlɔpa: amɔ́láwɔ̀ díɛ̀, òshìshɛ́, ɔlɔ́pàá
👮🏾‍♀	adúláwɔ̀ díɛ̀, obìnrin, obìnrin ɔlɔpa, obìnrin ɔlɔpa: adúláwɔ̀ díɛ̀, òshìshɛ́, ɔlɔ́pàá
👮🏿‍♀	adúláwɔ̀, obìnrin, obìnrin ɔlɔpa, obìnrin ɔlɔpa: adúláwɔ̀, òshìshɛ́, ɔlɔ́pàá
🕵️	ashèwádìí, ɔ̀tɛlèmúyé
🕵🏻	amɔ́lára, ashèwádìí, ɔ̀tɛlèmúyé, ɔ̀tɛlèmúyé: amɔ́lára
🕵🏼	amɔ́lára díɛ̀, ashèwádìí, ɔ̀tɛlèmúyé, ɔ̀tɛlèmúyé: amɔ́lára díɛ̀
🕵🏽	amɔ́láwɔ̀ díɛ̀, ashèwádìí, ɔ̀tɛlèmúyé, ɔ̀tɛlèmúyé: amɔ́láwɔ̀ díɛ̀
🕵🏾	adúláwɔ̀ díɛ̀, ashèwádìí, ɔ̀tɛlèmúyé, ɔ̀tɛlèmúyé: adúláwɔ̀ díɛ̀
🕵🏿	adúláwɔ̀, ashèwádìí, ɔ̀tɛlèmúyé, ɔ̀tɛlèmúyé: adúláwɔ̀
🕵‍♂	ashèwádìí, ɔkùnrin, ɔkùnrin ɔ̀tɛlèmúyé, ɔ̀tɛlèmúyé
🕵🏻‍♂	amɔ́lára, ashèwádìí, ɔkùnrin, ɔkùnrin ɔ̀tɛlèmúyé: amɔ́lára, ɔ̀tɛlèmúyé
🕵🏼‍♂	amɔ́lára díɛ̀, ashèwádìí, ɔkùnrin, ɔkùnrin ɔ̀tɛlèmúyé: amɔ́lára díɛ̀, ɔ̀tɛlèmúyé
🕵🏽‍♂	amɔ́láwɔ̀ díɛ̀, ashèwádìí, ɔkùnrin, ɔkùnrin ɔ̀tɛlèmúyé: amɔ́láwɔ̀ díɛ̀, ɔ̀tɛlèmúyé
🕵🏾‍♂	adúláwɔ̀ díɛ̀, ashèwádìí, ɔkùnrin, ɔkùnrin ɔ̀tɛlèmúyé: adúláwɔ̀ díɛ̀, ɔ̀tɛlèmúyé
🕵🏿‍♂	adúláwɔ̀, ashèwádìí, ɔkùnrin, ɔkùnrin ɔ̀tɛlèmúyé: adúláwɔ̀, ɔ̀tɛlèmúyé
🕵‍♀	ashèwádìí, obìnrin, obìnrin ɔ̀tɛlèmúyé, ɔ̀tɛlèmúyé
🕵🏻‍♀	amɔ́lára, ashèwádìí, obìnrin, obìnrin ɔ̀tɛlèmúyé: amɔ́lára, ɔ̀tɛlèmúyé
🕵🏼‍♀	amɔ́lára díɛ̀, ashèwádìí, obìnrin, obìnrin ɔ̀tɛlèmúyé: amɔ́lára díɛ̀, ɔ̀tɛlèmúyé
🕵🏽‍♀	amɔ́láwɔ̀ díɛ̀, ashèwádìí, obìnrin, obìnrin ɔ̀tɛlèmúyé: amɔ́láwɔ̀ díɛ̀, ɔ̀tɛlèmúyé
🕵🏾‍♀	adúláwɔ̀ díɛ̀, ashèwádìí, obìnrin, obìnrin ɔ̀tɛlèmúyé: adúláwɔ̀ díɛ̀, ɔ̀tɛlèmúyé
🕵🏿‍♀	adúláwɔ̀, ashèwádìí, obìnrin, obìnrin ɔ̀tɛlèmúyé: adúláwɔ̀, ɔ̀tɛlèmúyé
💂	Olushɔ
💂🏻	Olushɔ, Olushɔ: amɔ́lára, amɔ́lára
💂🏼	Olushɔ, Olushɔ: amɔ́lára díɛ̀, amɔ́lára díɛ̀
💂🏽	Olushɔ, Olushɔ: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀
💂🏾	Olushɔ, Olushɔ: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀
💂🏿	Olushɔ, Olushɔ: adúláwɔ̀, adúláwɔ̀
💂‍♂	olùshɔ́, ɔkùnrin, ɔkùnrin olùshɔ́
💂🏻‍♂	amɔ́lára, olùshɔ́, ɔkùnrin, ɔkùnrin olùshɔ́: amɔ́lára
💂🏼‍♂	amɔ́lára díɛ̀, olùshɔ́, ɔkùnrin, ɔkùnrin olùshɔ́: amɔ́lára díɛ̀
💂🏽‍♂	amɔ́láwɔ̀ díɛ̀, olùshɔ́, ɔkùnrin, ɔkùnrin olùshɔ́: amɔ́láwɔ̀ díɛ̀
💂🏾‍♂	adúláwɔ̀ díɛ̀, olùshɔ́, ɔkùnrin, ɔkùnrin olùshɔ́: adúláwɔ̀ díɛ̀
💂🏿‍♂	adúláwɔ̀, olùshɔ́, ɔkùnrin, ɔkùnrin olùshɔ́: adúláwɔ̀
💂‍♀	obìnrin, obìnrin olùshɔ́, olùshɔ́
💂🏻‍♀	amɔ́lára, obìnrin, obìnrin olùshɔ́: amɔ́lára, olùshɔ́
💂🏼‍♀	amɔ́lára díɛ̀, obìnrin, obìnrin olùshɔ́: amɔ́lára díɛ̀, olùshɔ́
💂🏽‍♀	amɔ́láwɔ̀ díɛ̀, obìnrin, obìnrin olùshɔ́: amɔ́láwɔ̀ díɛ̀, olùshɔ́
💂🏾‍♀	adúláwɔ̀ díɛ̀, obìnrin, obìnrin olùshɔ́: adúláwɔ̀ díɛ̀, olùshɔ́
💂🏿‍♀	adúláwɔ̀, obìnrin, obìnrin olùshɔ́: adúláwɔ̀, olùshɔ́
👷	Oshishɛ Ikɔle, fìlà, òshishɛ́ ìkɔle, òshìshɛ́
👷🏻	Oshishɛ Ikɔle, Oshishɛ Ikɔle: amɔ́lára, amɔ́lára, fìlà, òshishɛ́ ìkɔle, òshìshɛ́
👷🏼	Oshishɛ Ikɔle, Oshishɛ Ikɔle: amɔ́lára díɛ̀, amɔ́lára díɛ̀, fìlà, òshishɛ́ ìkɔle, òshìshɛ́
👷🏽	Oshishɛ Ikɔle, Oshishɛ Ikɔle: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, fìlà, òshishɛ́ ìkɔle, òshìshɛ́
👷🏾	Oshishɛ Ikɔle, Oshishɛ Ikɔle: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, fìlà, òshishɛ́ ìkɔle, òshìshɛ́
👷🏿	Oshishɛ Ikɔle, Oshishɛ Ikɔle: adúláwɔ̀, adúláwɔ̀, fìlà, òshishɛ́ ìkɔle, òshìshɛ́
👷‍♂	òshishɛ́ ìkɔle, òshishɛ́ ìkɔ́lé ɔkùnrin, òshìshɛ́, ɔkùnrin
👷🏻‍♂	amɔ́lára, òshishɛ́ ìkɔle, òshishɛ́ ìkɔ́lé ɔkùnrin, òshishɛ́ ìkɔ́lé ɔkùnrin: amɔ́lára, òshìshɛ́, ɔkùnrin
👷🏼‍♂	amɔ́lára díɛ̀, òshishɛ́ ìkɔle, òshishɛ́ ìkɔ́lé ɔkùnrin, òshishɛ́ ìkɔ́lé ɔkùnrin: amɔ́lára díɛ̀, òshìshɛ́, ɔkùnrin
👷🏽‍♂	amɔ́láwɔ̀ díɛ̀, òshishɛ́ ìkɔle, òshishɛ́ ìkɔ́lé ɔkùnrin, òshishɛ́ ìkɔ́lé ɔkùnrin: amɔ́láwɔ̀ díɛ̀, òshìshɛ́, ɔkùnrin
👷🏾‍♂	adúláwɔ̀ díɛ̀, òshishɛ́ ìkɔle, òshishɛ́ ìkɔ́lé ɔkùnrin, òshishɛ́ ìkɔ́lé ɔkùnrin: adúláwɔ̀ díɛ̀, òshìshɛ́, ɔkùnrin
👷🏿‍♂	adúláwɔ̀, òshishɛ́ ìkɔle, òshishɛ́ ìkɔ́lé ɔkùnrin, òshishɛ́ ìkɔ́lé ɔkùnrin: adúláwɔ̀, òshìshɛ́, ɔkùnrin
👷‍♀	obìnrin, òshishɛ́ ìkɔle, òshishɛ́ ìkɔ́lé obìnrin, òshìshɛ́
👷🏻‍♀	amɔ́lára, obìnrin, òshishɛ́ ìkɔle, òshishɛ́ ìkɔ́lé obìnrin, òshishɛ́ ìkɔ́lé obìnrin: amɔ́lára, òshìshɛ́
👷🏼‍♀	amɔ́lára díɛ̀, obìnrin, òshishɛ́ ìkɔle, òshishɛ́ ìkɔ́lé obìnrin, òshishɛ́ ìkɔ́lé obìnrin: amɔ́lára díɛ̀, òshìshɛ́
👷🏽‍♀	amɔ́láwɔ̀ díɛ̀, obìnrin, òshishɛ́ ìkɔle, òshishɛ́ ìkɔ́lé obìnrin, òshishɛ́ ìkɔ́lé obìnrin: amɔ́láwɔ̀ díɛ̀, òshìshɛ́
👷🏾‍♀	adúláwɔ̀ díɛ̀, obìnrin, òshishɛ́ ìkɔle, òshishɛ́ ìkɔ́lé obìnrin, òshishɛ́ ìkɔ́lé obìnrin: adúláwɔ̀ díɛ̀, òshìshɛ́
👷🏿‍♀	adúláwɔ̀, obìnrin, òshishɛ́ ìkɔle, òshishɛ́ ìkɔ́lé obìnrin, òshishɛ́ ìkɔ́lé obìnrin: adúláwɔ̀, òshìshɛ́
🤴	Ɔmɔkunrin Alade
🤴🏻	amɔ́lára, Ɔmɔkunrin Alade, Ɔmɔkunrin Alade: amɔ́lára
🤴🏼	amɔ́lára díɛ̀, Ɔmɔkunrin Alade, Ɔmɔkunrin Alade: amɔ́lára díɛ̀
🤴🏽	amɔ́láwɔ̀ díɛ̀, Ɔmɔkunrin Alade, Ɔmɔkunrin Alade: amɔ́láwɔ̀ díɛ̀
🤴🏾	adúláwɔ̀ díɛ̀, Ɔmɔkunrin Alade, Ɔmɔkunrin Alade: adúláwɔ̀ díɛ̀
🤴🏿	adúláwɔ̀, Ɔmɔkunrin Alade, Ɔmɔkunrin Alade: adúláwɔ̀
👸	àlá, ìtàn ɔmɔdé, Ɔmɔbinrin Alade
👸🏻	amɔ́lára, àlá, ìtàn ɔmɔdé, Ɔmɔbinrin Alade, Ɔmɔbinrin Alade: amɔ́lára
👸🏼	amɔ́lára díɛ̀, àlá, ìtàn ɔmɔdé, Ɔmɔbinrin Alade, Ɔmɔbinrin Alade: amɔ́lára díɛ̀
👸🏽	amɔ́láwɔ̀ díɛ̀, àlá, ìtàn ɔmɔdé, Ɔmɔbinrin Alade, Ɔmɔbinrin Alade: amɔ́láwɔ̀ díɛ̀
👸🏾	adúláwɔ̀ díɛ̀, àlá, ìtàn ɔmɔdé, Ɔmɔbinrin Alade, Ɔmɔbinrin Alade: adúláwɔ̀ díɛ̀
👸🏿	adúláwɔ̀, àlá, ìtàn ɔmɔdé, Ɔmɔbinrin Alade, Ɔmɔbinrin Alade: adúláwɔ̀
👳	láwàní, Ɛni wɔ Lawani
👳🏻	amɔ́lára, láwàní, Ɛni wɔ Lawani, Ɛni wɔ Lawani: amɔ́lára
👳🏼	amɔ́lára díɛ̀, láwàní, Ɛni wɔ Lawani, Ɛni wɔ Lawani: amɔ́lára díɛ̀
👳🏽	amɔ́láwɔ̀ díɛ̀, láwàní, Ɛni wɔ Lawani, Ɛni wɔ Lawani: amɔ́láwɔ̀ díɛ̀
👳🏾	adúláwɔ̀ díɛ̀, láwàní, Ɛni wɔ Lawani, Ɛni wɔ Lawani: adúláwɔ̀ díɛ̀
👳🏿	adúláwɔ̀, láwàní, Ɛni wɔ Lawani, Ɛni wɔ Lawani: adúláwɔ̀
👳‍♂	láwàní, ɔkùnrin, ɔkùnrin tó dé láwàní
👳🏻‍♂	amɔ́lára, láwàní, ɔkùnrin, ɔkùnrin tó dé láwàní, ɔkùnrin tó dé láwàní: amɔ́lára
👳🏼‍♂	amɔ́lára díɛ̀, láwàní, ɔkùnrin, ɔkùnrin tó dé láwàní, ɔkùnrin tó dé láwàní: amɔ́lára díɛ̀
👳🏽‍♂	amɔ́láwɔ̀ díɛ̀, láwàní, ɔkùnrin, ɔkùnrin tó dé láwàní, ɔkùnrin tó dé láwàní: amɔ́láwɔ̀ díɛ̀
👳🏾‍♂	adúláwɔ̀ díɛ̀, láwàní, ɔkùnrin, ɔkùnrin tó dé láwàní, ɔkùnrin tó dé láwàní: adúláwɔ̀ díɛ̀
👳🏿‍♂	adúláwɔ̀, láwàní, ɔkùnrin, ɔkùnrin tó dé láwàní, ɔkùnrin tó dé láwàní: adúláwɔ̀
👳🏻‍♀	amɔ́lára, láwàní, obìnrin, obìnrin tó dé láwàní, obìnrin tó dé láwàní: amɔ́lára
👳🏼‍♀	amɔ́lára díɛ̀, láwàní, obìnrin, obìnrin tó dé láwàní, obìnrin tó dé láwàní: amɔ́lára díɛ̀
👳🏽‍♀	amɔ́láwɔ̀ díɛ̀, láwàní, obìnrin, obìnrin tó dé láwàní, obìnrin tó dé láwàní: amɔ́láwɔ̀ díɛ̀
👳🏾‍♀	adúláwɔ̀ díɛ̀, láwàní, obìnrin, obìnrin tó dé láwàní, obìnrin tó dé láwàní: adúláwɔ̀ díɛ̀
👳🏿‍♀	adúláwɔ̀, láwàní, obìnrin, obìnrin tó dé láwàní, obìnrin tó dé láwàní: adúláwɔ̀
👲	fìlà, gua pi mao, Ɔkunrin Pɛlu Fila Shainisi, ɔkùnrin
👲🏻	amɔ́lára, fìlà, gua pi mao, Ɔkunrin Pɛlu Fila Shainisi, Ɔkunrin Pɛlu Fila Shainisi: amɔ́lára, ɔkùnrin
👲🏼	amɔ́lára díɛ̀, fìlà, gua pi mao, Ɔkunrin Pɛlu Fila Shainisi, Ɔkunrin Pɛlu Fila Shainisi: amɔ́lára díɛ̀, ɔkùnrin
👲🏽	amɔ́láwɔ̀ díɛ̀, fìlà, gua pi mao, Ɔkunrin Pɛlu Fila Shainisi, Ɔkunrin Pɛlu Fila Shainisi: amɔ́láwɔ̀ díɛ̀, ɔkùnrin
👲🏾	adúláwɔ̀ díɛ̀, fìlà, gua pi mao, Ɔkunrin Pɛlu Fila Shainisi, Ɔkunrin Pɛlu Fila Shainisi: adúláwɔ̀ díɛ̀, ɔkùnrin
👲🏿	adúláwɔ̀, fìlà, gua pi mao, Ɔkunrin Pɛlu Fila Shainisi, Ɔkunrin Pɛlu Fila Shainisi: adúláwɔ̀, ɔkùnrin
🧕	Gèlè, gèlè àwɔn sípánì, obinrin tó wé gèlè, ìbòrí, ìbòrí àwɔn júù
🧕🏻	Gèlè, amɔ́lára, gèlè àwɔn sípánì, obinrin tó wé gèlè, obinrin tó wé gèlè: amɔ́lára, ìbòrí, ìbòrí àwɔn júù
🧕🏼	Gèlè, amɔ́lára díɛ̀, gèlè àwɔn sípánì, obinrin tó wé gèlè, obinrin tó wé gèlè: amɔ́lára díɛ̀, ìbòrí, ìbòrí àwɔn júù
🧕🏽	Gèlè, amɔ́láwɔ̀ díɛ̀, gèlè àwɔn sípánì, obinrin tó wé gèlè, obinrin tó wé gèlè: amɔ́láwɔ̀ díɛ̀, ìbòrí, ìbòrí àwɔn júù
🧕🏾	Gèlè, adúláwɔ̀ díɛ̀, gèlè àwɔn sípánì, obinrin tó wé gèlè, obinrin tó wé gèlè: adúláwɔ̀ díɛ̀, ìbòrí, ìbòrí àwɔn júù
🧕🏿	Gèlè, adúláwɔ̀, gèlè àwɔn sípánì, obinrin tó wé gèlè, obinrin tó wé gèlè: adúláwɔ̀, ìbòrí, ìbòrí àwɔn júù
🤵	kóòtù, Ɔkunrin Pɛlu Kootu, ɔkùnrin, ɔkɔ ìyàwó
🤵🏻	amɔ́lára, kóòtù, Ɔkunrin Pɛlu Kootu, Ɔkunrin Pɛlu Kootu: amɔ́lára, ɔkùnrin, ɔkɔ ìyàwó
🤵🏼	amɔ́lára díɛ̀, kóòtù, Ɔkunrin Pɛlu Kootu, Ɔkunrin Pɛlu Kootu: amɔ́lára díɛ̀, ɔkùnrin, ɔkɔ ìyàwó
🤵🏽	amɔ́láwɔ̀ díɛ̀, kóòtù, Ɔkunrin Pɛlu Kootu, Ɔkunrin Pɛlu Kootu: amɔ́láwɔ̀ díɛ̀, ɔkùnrin, ɔkɔ ìyàwó
🤵🏾	adúláwɔ̀ díɛ̀, kóòtù, Ɔkunrin Pɛlu Kootu, Ɔkunrin Pɛlu Kootu: adúláwɔ̀ díɛ̀, ɔkùnrin, ɔkɔ ìyàwó
